列车类型	车次	始发站	终到站	到站时间	发车时间
快速	终K105	北京西	深圳	4:20	-
直达特快	终Z188	沈阳北	深圳	4:30	-
快速	终K448	西安	深圳	4:40	-
快速	终K115	九江	深圳	5:23	-
城际动车	始C7180	深圳	广州东	-	6:10
特快	终T211	上海南	深圳	6:22	-
城际动车	始C7142	深圳	广州	-	6:27
城际动车	始C7074	深圳	广州东	-	6:45
城际动车	始C7170	深圳	广州	-	7:00
动车组	始D7104	深圳	佛山西	-	7:10
城际动车	终C7001	广州东	深圳	7:18	-
城际动车	始C7160	深圳	广州东	-	7:22
城际动车	终C7023	广州东	深圳	7:27	-
城际动车	始C7002	深圳	广州东	-	7:33
城际动车	终C7037	广州东	深圳	7:39	-
特快	始T398	深圳	青岛	-	7:40
城际动车	始C7024	深圳	广州东	-	7:43
特快	终T101	上海南	深圳	7:47	-
快速	始K446	深圳	西安	-	7:48
城际动车	终C7045	广州东	深圳	7:50	-
动车组	始D7554	深圳	怀集	-	7:53
城际动车	终C7055	广州	深圳	7:58	-
城际动车	始C7038	深圳	广州东	-	8:00
城际动车	始C7046	深圳	广州东	-	8:07
直达特快	终Z23	武昌	深圳	8:10	-
快速	始K1348	深圳	西安	-	8:10
城际动车	终C7065	广州	深圳	8:13	-
城际动车	始C7056	深圳	广州东	-	8:18
城际动车	终C7013	广州东	深圳	8:24	-
城际动车	始C7066	深圳	广州东	-	8:28
城际动车	终C7083	广州东	深圳	8:33	-
城际动车	始C7014	深圳	广州东	-	8:40
城际动车	终C7091	广州	深圳	8:43	-
特快	终T95	武昌	深圳	8:46	-
城际动车	始C7084	深圳	广州东	-	8:49
城际动车	终C7101	广州东	深圳	8:55	-
城际动车	始C7092	深圳	广州东	-	8:58
快速	终K9217	长沙	深圳	9:02	-
城际动车	始C7102	深圳	广州东	-	9:10
城际动车	终C7181	广州东	深圳	9:15	-
直达特快	始Z230	深圳	乌鲁木齐	-	9:18
城际动车	终C7125	广州东	深圳	9:24	-
快速	终K950	金城江	深圳	9:30	-
城际动车	始C7182	深圳	广州东	-	9:30
城际动车	终C7133	广州东	深圳	9:35	-
城际动车	始C7126	深圳	广州	-	9:39
城际动车	终C7075	广州东	深圳	9:44	-
城际动车	始C7134	深圳	广州东	-	9:50
城际动车	终C7143	广州	深圳	9:55	-
城际动车	终C7171	广州	深圳	10:01	-
城际动车	始C7076	深圳	广州东	-	10:02
城际动车	始C7144	深圳	广州东	-	10:10
城际动车	终C7161	广州东	深圳	10:15	-
城际动车	始C7172	深圳	广州东	-	10:20
城际动车	终C7151	广州东	深圳	10:25	-
快速	终K9275	常德	深圳	10:26	-
城际动车	始C7162	深圳	广州	-	10:31
城际动车	终C7003	广州东	深圳	10:36	-
城际动车	始C7152	深圳	广州东	-	10:44
城际动车	终C7025	广州东	深圳	10:49	-
城际动车	终C7039	广州东	深圳	10:55	-
城际动车	始C7004	深圳	广州东	-	10:57
城际动车	终C7047	广州东	深圳	11:04	-
快速	始K106	深圳	北京西	-	11:05
城际动车	始C7026	深圳	广州	-	11:07
城际动车	终C7057	广州东	深圳	11:12	-
城际动车	始C7040	深圳	广州东	-	11:16
城际动车	终C7067	广州东	深圳	11:23	-
城际动车	始C7048	深圳	广州东	-	11:24
城际动车	终C7015	广州东	深圳	11:31	-
城际动车	始C7058	深圳	广州	-	11:33
城际动车	终C7085	广州东	深圳	11:39	-
动车组	始D7566	深圳	郁南	-	11:46
动车组	终D7103	佛山西	深圳	11:54	-
城际动车	始C7016	深圳	广州东	-	11:56
直达特快	始Z8006	深圳	龙川	-	12:02
城际动车	终C7093	广州东	深圳	12:02	-
城际动车	始C7090	深圳	肇庆	-	12:04
城际动车	终C7103	广州东	深圳	12:12	-
城际动车	始C7112	深圳	广州东	-	12:14
快速	始K34	深圳	苏州	-	12:16
城际动车	始C7094	深圳	广州东	-	12:23
城际动车	始C7104	深圳	广州	-	12:33
城际动车	终C7183	广州东	深圳	12:39	-
特快	始T212	深圳	上海南	-	12:41
城际动车	终C7135	广州东	深圳	12:53	-
城际动车	始C7184	深圳	广州东	-	12:55
城际动车	终C7077	广州东	深圳	13:01	-
城际动车	始C7136	深圳	广州东	-	13:08
城际动车	终C7127	广州	深圳	13:15	-
城际动车	始C7078	深圳	广州东	-	13:17
城际动车	终C7145	广州东	深圳	13:23	-
动车组	始D7108	深圳	佛山西	-	13:30
城际动车	终C7173	广州东	深圳	13:35	-
城际动车	始C7146	深圳	广州东	-	13:39
城际动车	终C7153	广州东	深圳	13:44	-
城际动车	始C7174	深圳	广州东	-	13:49
特快	终T8369	大埔	深圳	13:58	-
城际动车	终C7163	广州	深圳	13:59	-
城际动车	始C7154	深圳	广州东	-	14:02
快速	始K536	深圳	洛阳	-	14:03
城际动车	终C7005	广州东	深圳	14:08	-
城际动车	始C7164	深圳	广州东	-	14:11
动车组	终D7553	怀集	深圳	14:17	-
动车组	始D728	深圳	北京西	-	14:20
城际动车	始C7006	深圳	广州	-	14:22
城际动车	终C7113	广州东	深圳	14:29	-
城际动车	始C7032	深圳	广州东	-	14:32
城际动车	终C7027	广州	深圳	14:37	-
特快	始T8370	深圳	大埔	-	14:41
城际动车	始C7114	深圳	广州东	-	14:43
城际动车	终C7049	广州东	深圳	14:51	-
城际动车	始C7028	深圳	广州东	-	14:52
快速	终K36	苏州	深圳	14:57	-
城际动车	终C7017	广州东	深圳	14:59	-
城际动车	始C7050	深圳	广州东	-	15:05
城际动车	终C7059	广州	深圳	15:07	-
城际动车	始C7018	深圳	广州东	-	15:13
城际动车	终C7095	广州东	深圳	15:18	-
城际动车	始C7060	深圳	广州东	-	15:22
城际动车	终C7041	广州东	深圳	15:27	-
城际动车	始C7096	深圳	广州东	-	15:33
城际动车	始C7042	深圳	广州	-	15:42
城际动车	终C7105	广州	深圳	15:52	-
特快	始T102	深圳	上海南	-	16:02
城际动车	终C7185	广州东	深圳	16:05	-
城际动车	始C7106	深圳	广州东	-	16:06
城际动车	终C7137	广州东	深圳	16:16	-
动车组	始D7112	深圳	佛山西	-	16:22
特快	始T96	深圳	武昌	-	16:26
城际动车	终C7079	广州东	深圳	16:27	-
城际动车	始C7138	深圳	广州东	-	16:31
直达特快	终Z8005	龙川	深圳	16:35	-
城际动车	终C7147	广州东	深圳	16:37	-
快速	始K952	深圳	金城江	-	16:42
城际动车	终C7175	广州东	深圳	16:48	-
城际动车	始C7080	深圳	广州	-	16:48
城际动车	终C7155	广州东	深圳	16:58	-
城际动车	始C7148	深圳	广州东	-	17:03
城际动车	始C7176	深圳	广州东	-	17:09
城际动车	终C7165	广州东	深圳	17:14	-
城际动车	始C7156	深圳	广州东	-	17:20
动车组	终D727	北京西	深圳	17:24	-
城际动车	终C7033	广州东	深圳	17:25	-
快速	始K116	深圳	九江	-	17:28
城际动车	始C7166	深圳	广州东	-	17:29
城际动车	终C7115	广州东	深圳	17:34	-
城际动车	始C7034	深圳	广州东	-	17:38
快速	终K538	洛阳	深圳	17:42	-
城际动车	终C7007	广州	深圳	17:42	-
城际动车	始C7116	深圳	广州	-	17:46
城际动车	终C7029	广州东	深圳	17:52	-
城际动车	始C7008	深圳	广州东	-	17:56
直达特快	始Z24	深圳	武昌	-	18:00
城际动车	终C7051	广州东	深圳	18:07	-
城际动车	始C7030	深圳	广州东	-	18:11
动车组	终D7107	佛山西	深圳	18:16	-
城际动车	始C7052	深圳	广州东	-	18:21
城际动车	终C7019	广州东	深圳	18:26	-
城际动车	始C7128	深圳	广州东	-	18:32
城际动车	终C7088	肇庆	深圳	18:38	-
城际动车	终C7097	广州东	深圳	18:44	-
城际动车	始C7020	深圳	广州	-	18:48
城际动车	始C7086	深圳	广州东	-	18:56
动车组	终D7565	郁南	深圳	19:01	-
城际动车	始C7098	深圳	广州东	-	19:05
城际动车	终C7043	广州	深圳	19:13	-
城际动车	始C7068	深圳	广州东	-	19:24
直达特快	终Z232	乌鲁木齐	深圳	19:25	-
城际动车	终C7107	广州东	深圳	19:30	-
城际动车	始C7044	深圳	广州东	-	19:32
快速	始K9276	深圳	常德	-	19:36
城际动车	终C7139	广州东	深圳	19:38	-
城际动车	始C7108	深圳	广州	-	19:44
直达特快	始Z186	深圳	沈阳北	-	19:50
城际动车	终C7149	广州东	深圳	19:51	-
城际动车	始C7140	深圳	广州	-	19:53
城际动车	终C7177	广州东	深圳	20:04	-
城际动车	始C7150	深圳	广州东	-	20:05
城际动车	终C7081	广州	深圳	20:16	-
城际动车	始C7178	深圳	广州	-	20:21
快速	终K1350	西安	深圳	20:23	-
城际动车	终C7157	广州东	深圳	20:27	-
城际动车	始C7082	深圳	广州东	-	20:32
城际动车	终C7035	广州东	深圳	20:39	-
城际动车	始C7158	深圳	广州东	-	20:42
城际动车	终C7009	广州东	深圳	20:50	-
快速	始K9218	深圳	长沙	-	21:00
城际动车	始C7036	深圳	广州东	-	21:00
城际动车	终C7117	广州	深圳	21:07	-
特快	终T396	青岛	深圳	21:08	-
城际动车	始C7010	深圳	广州东	-	21:10
城际动车	终C7053	广州东	深圳	21:16	-
城际动车	始C7118	深圳	广州东	-	21:22
动车组	终D7111	佛山西	深圳	21:27	-
快速	始K9122	深圳	衡阳	-	21:35
城际动车	始C7186	深圳	广州东	-	21:42
城际动车	终C7197	广州东	深圳	21:48	-
城际动车	终C7099	广州东	深圳	21:59	-
城际动车	始C7198	深圳	广州东	-	22:02
城际动车	始C7100	深圳	广州东	-	22:13
城际动车	终C7069	广州东	深圳	22:19	-
快速	终K9121	衡阳	深圳	22:26	-
城际动车	终C7021	广州	深圳	22:28	-
城际动车	终C7187	广州东	深圳	22:35	-
城际动车	始C7022	深圳	广州东	-	22:40
城际动车	始C7188	深圳	广州东	-	22:50
城际动车	终C7109	广州	深圳	22:54	-
城际动车	终C7141	广州	深圳	23:21	-
城际动车	终C7179	广州	深圳	23:34	-
城际动车	终C7159	广州东	深圳	23:43	-
城际动车	终C7011	广州东	深圳	23:53	-
