列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	过D941	上海虹桥	珠海	6:27	6:31
城际动车	始C6802	深圳北	深圳坪山	-	6:36
动车组	过D935	上海虹桥	广州南	6:39	6:44
动车组	终D918	南通	深圳北	6:46	-
动车组	始D3126	深圳北	扬州	-	6:47
城际动车	始C7282	深圳北	汕尾	-	6:55
高速动车	始G1002	深圳北	武汉	-	6:58
高速动车	过G6349	广州南	梅州西	6:57	7:01
高速动车	始G2912	深圳北	南宁东	-	7:03
动车组	终D901	北京西	深圳北	7:06	-
高速动车	始G6012	深圳北	长沙南	-	7:08
动车组	始D2352	深圳北	南平市	-	7:19
高速动车	终G9533	广州南	深圳北	7:20	-
高速动车	始G2902	深圳北	桂林北	-	7:21
城际动车	始C7292	深圳北	深圳坪山	-	7:25
高速动车	过G6165	深圳坪山	怀化南	7:21	7:25
动车组	始D674	深圳北	厦门	-	7:31
城际动车	终C6801	深圳坪山	深圳北	7:35	-
高速动车	始G1312	深圳北	重庆北	-	7:36
高速动车	过G6317	广州南	潮汕	7:33	7:36
动车组	始D2350	深圳北	厦门	-	7:41
高速动车	始G280	深圳北	济南西	-	7:41
高速动车	终G6203	广州南	深圳北	7:45	-
城际动车	始C6838	深圳北	深圳坪山	-	7:52
动车组	始D2342	深圳北	厦门北	-	7:58
高速动车	始G2926	深圳北	昆明南	-	8:00
动车组	始D2294	深圳北	南京南	-	8:03
高速动车	过G9739	广州南	福田	7:59	8:04
高速动车	始G6144	深圳北	怀化南	-	8:05
高速动车	过G6227	广州南	福田	8:05	8:10
高速动车	过G6343	潮汕	广州南	8:08	8:11
高速动车	终G6207	广州南	深圳北	8:13	-
动车组	始D378	深圳北	上海虹桥	-	8:18
高速动车	始G1004	深圳北	武汉	-	8:21
高速动车	过G6301	广州南	潮汕	8:19	8:23
城际动车	终C7291	深圳坪山	深圳北	8:25	-
高速动车	终G6253	广州北	深圳北	8:26	-
高速动车	始G9534	深圳北	岳阳东	-	8:26
动车组	始D2302	深圳北	福鼎	-	8:28
高速动车	始G6202	深圳北	广州南	-	8:32
动车组	终D7423	潮汕	深圳北	8:34	-
动车组	始D2308	深圳北	福州南	-	8:38
高速动车	终G6209	广州南	深圳北	8:38	-
高速动车	始G74	深圳北	郑州东	-	8:41
动车组	始D2346	深圳北	厦门	-	8:43
高速动车	始G6182	深圳北	邵阳	-	8:46
动车组	始D2284	深圳北	上海虹桥	-	8:48
城际动车	终C6839	深圳坪山	深圳北	8:49	-
高速动车	过G9740	福田	广州南	8:48	8:52
高速动车	始G1602	深圳北	亳州南	-	8:54
高速动车	终G6211	广州南	深圳北	8:54	-
高速动车	过G9749	广州南	福田	8:49	8:54
高速动车	始G6174	深圳北	怀化南	-	8:57
动车组	始D7416	深圳北	汕头	-	8:59
高速动车	过G6347	潮汕	广州南	8:55	9:02
动车组	始D960	深圳北	厦门北	-	9:04
高速动车	过G6218	福田	广州南	8:57	9:08
高速动车	始G9721	深圳北	福田	-	9:09
城际动车	始C6804	深圳北	深圳坪山	-	9:11
高速动车	过G6004	汕头	长沙南	9:08	9:13
高速动车	终G6023	衡阳东	深圳北	9:18	-
动车组	始D2282	深圳北	南京	-	9:21
高速动车	始G1006	深圳北	武汉	-	9:24
高速动车	过G9767	广州南	潮汕	9:23	9:26
高速动车	终G6255	广州南	深圳北	9:29	-
高速动车	始G818	深圳北	西安北	-	9:30
城际动车	终C7281	汕尾	深圳北	9:34	-
高速动车	始G6208	深圳北	广州南	-	9:35
高速动车	过G6305	广州南	潮汕	9:34	9:38
高速动车	过G9750	福田	广州南	9:35	9:40
高速动车	始G532	深圳北	石家庄	-	9:45
动车组	终D7357	潮汕	深圳北	9:47	-
高速动车	终G9759	肇庆东	深圳北	9:47	-
高速动车	过G4307	广州南	福州南	9:43	9:48
高速动车	过G6351	梅州西	广州南	9:42	9:50
动车组	始D7444	深圳北	汕头	-	9:53
高速动车	终G6239	广州南	深圳北	9:55	-
高速动车	始G822	深圳北	西安北	-	9:55
动车组	始D2286	深圳北	上海虹桥	-	9:58
高速动车	始G6234	深圳北	广州南	-	10:00
动车组	终D7355	潮汕	深圳北	10:05	-
高速动车	终G6035	衡阳东	深圳北	10:05	-
高速动车	始G9760	深圳北	广州南	-	10:06
城际动车	始C7284	深圳北	汕尾	-	10:09
城际动车	终C6803	深圳坪山	深圳北	10:11	-
动车组	始D2334	深圳北	厦门	-	10:14
高速动车	始G2138	深圳北	铜仁	-	10:15
动车组	终D675	厦门	深圳北	10:16	-
高速动车	始G1040	深圳北	十堰东	-	10:26
动车组	终D7438	汕头	深圳北	10:27	-
动车组	始D2316	深圳北	厦门	-	10:28
高速动车	过G4512	福田	成都东	10:28	10:32
