列车类型	车次	始发站	终到站	到站时间	发车时间
快速	终K1398	太原	温州	5:00	-
快速	终K2908	西安	温州	5:30	-
快速	终K101	北京	温州	5:49	-
快速	始K2906	温州	西安	-	7:00
快速	始K944	温州	贵阳	-	7:30
快速	终K1669	九江	温州	7:48	-
快速	终K1585	武昌	温州	8:40	-
快速	终K326	广州	温州	10:00	-
快速	终K554	牡丹江	温州	10:50	-
快速	终K346	沈阳北	温州	11:20	-
快速	终K1240	郑州	温州	11:48	-
快速	始K102	温州	北京	-	12:00
快速	始K552	温州	牡丹江	-	12:46
快速	终K306	兰州	温州	13:35	-
快速	始K1586	温州	武昌	-	13:47
快速	终K1052	青岛北	温州	14:40	-
快速	始K1396	温州	太原	-	14:50
快速	始K1238	温州	郑州	-	15:10
快速	终K942	贵阳	温州	15:28	-
快速	始K328	温州	广州	-	17:15
快速	始K1670	温州	九江	-	17:50
快速	始K348	温州	沈阳北	-	18:20
快速	始K308	温州	兰州	-	18:50
快速	始K1256	温州	成都东	-	20:00
快速	始K1050	温州	青岛北	-	23:00
快速	终K1258	成都东	温州	23:17	-
