列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	始D6066	烟台	龙口市	-	5:50
城际动车	始C6520	烟台	青岛	-	6:16
动车组	始D6095	烟台	荣成	-	6:40
快速	终K285	北京	烟台	6:57	-
动车组	始D1626	烟台	石家庄	-	7:00
高速动车	始G472	烟台	北京南	-	7:07
动车组	终D6092	威海	烟台	7:19	-
高速动车	始G2090	烟台	成都东	-	7:34
动车组	始D6093	烟台	荣成	-	7:42
普快	终5036	枣庄西	烟台	7:56	-
普快	终5020	曹县	烟台	8:26	-
快速	终K876	昆明	烟台	9:02	-
普快	始5018	烟台	曹县	-	9:04
动车组	过D6033	龙口市	济南	8:55	9:11
城际动车	终C6559	青岛北	烟台	9:21	-
高速动车	始G462	烟台	上海虹桥	-	9:23
快速	终K1596	郑州	烟台	9:33	-
快速	终K1394	佳木斯	烟台	9:54	-
城际动车	终C6518	青岛	烟台	10:04	-
高速动车	始G1850	烟台	长沙南	-	10:15
动车组	过D6044	青岛	龙口市	9:54	10:22
快速	终K1292	太原	烟台	10:34	-
动车组	终D6051	济南西	烟台	10:48	-
动车组	始D6062	烟台	济南东	-	11:03
高速动车	终G6942	曲阜东	烟台	11:23	-
动车组	始D6054	烟台	济南东	-	11:43
动车组	终D6090	济南东	烟台	11:52	-
高速动车	始G2670	烟台	杭州东	-	12:13
高速动车	始G6934	烟台	济南东	-	12:49
高速动车	终G471	北京南	烟台	12:56	-
快速	终K1132	宝鸡	烟台	13:13	-
高速动车	始G474	烟台	北京南	-	14:18
高速动车	终G5590	曲阜东	烟台	14:23	-
动车组	过D6043	龙口市	青岛	14:26	14:50
城际动车	终C6571	青岛北	烟台	15:22	-
高速动车	始G5592	烟台	曲阜东	-	15:25
快速	始K1130	烟台	宝鸡	-	15:32
高速动车	终G2668	杭州东	烟台	15:44	-
动车组	始D6088	烟台	济南东	-	16:09
快速	始K1392	烟台	佳木斯	-	16:28
动车组	过D6034	济南东	龙口市	16:06	16:38
动车组	终D6053	济南西	烟台	17:08	-
快速	始K1598	烟台	郑州	-	17:11
高速动车	终G473	北京南	烟台	17:23	-
普快	始5046	烟台	菏泽	-	17:28
高速动车	始G6984	烟台	曲阜东	-	17:55
快速	始K878	烟台	昆明	-	18:04
动车组	终D6061	平原东	烟台	18:44	-
动车组	终D6096	荣成	烟台	19:15	-
高速动车	终G1848	长沙南	烟台	19:43	-
动车组	过D6035	龙口市	威海	19:50	20:10
城际动车	始C6578	烟台	青岛北	-	20:32
高速动车	终G460	上海虹桥	烟台	20:47	-
动车组	终D1625	石家庄	烟台	22:42	-
快速	始K286	烟台	北京	-	22:48
高速动车	终G2088	成都东	烟台	22:57	-
