列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	过D6092	威海	烟台	6:58	7:00
城际动车	过C6552	荣成	青岛北	7:28	7:31
城际动车	过C6482	荣成	青岛北	7:29	7:31
动车组	过D6093	烟台	荣成	8:00	8:02
动车组	过D6072	荣成	济南	8:00	8:02
城际动车	过C6555	青岛北	荣成	8:07	8:09
城际动车	过C6489	青岛北	荣成	8:07	8:09
高速动车	过G6932	威海	济南西	8:12	8:14
城际动车	过C6553	青岛北	威海	8:16	8:19
高速动车	过G5588	威海	曲阜东	8:22	8:25
高速动车	过G6945	济南东	威海	8:26	8:30
高速动车	过G6931	济南东	威海	9:03	9:05
动车组	过D6073	济南	荣成	9:21	9:23
高速动车	过G476	荣成	北京南	9:47	9:49
动车组	过D1616	威海	石家庄	10:01	10:03
城际动车	过C6581	青岛北	威海	10:03	10:06
高速动车	过G2684	威海	兰州西	10:11	10:14
城际动车	过C6586	青岛	威海	10:20	10:22
高速动车	过G6933	济南东	威海	10:31	10:33
城际动车	过C6516	荣成	青岛	10:42	10:44
城际动车	过C6494	荣成	青岛	10:42	10:44
高速动车	过G6935	济南东	荣成	10:45	10:47
动车组	过D6074	荣成	济南	10:52	10:55
城际动车	过C6563	青岛北	荣成	10:57	10:59
高速动车	过G1846	荣成	西安北	11:06	11:08
高速动车	过G6986	枣庄	荣成	11:17	11:19
高速动车	过G2654	荣成	沈阳北	11:17	11:19
高速动车	过G2084	威海	武汉	11:28	11:30
城际动车	过C6483	青岛北	荣成	11:35	11:37
高速动车	过G2078	威海	运城北	11:47	11:49
动车组	过D6080	威海	平原东	12:12	12:14
高速动车	过G6982	枣庄	荣成	12:19	12:21
高速动车	过G2054	威海	西安北	12:37	12:39
高速动车	过G469	北京南	威海	13:07	13:09
高速动车	过G478	荣成	北京南	13:13	13:15
高速动车	过G5582	曲阜东	威海	13:19	13:21
城际动车	过C6484	荣成	青岛	13:34	13:36
动车组	过D1621	石家庄	荣成	13:36	13:38
高速动车	过G2062	荣成	太原南	13:56	13:59
高速动车	过G456	上海虹桥	荣成	14:06	14:08
城际动车	过C6508	荣成	青岛	14:07	14:09
高速动车	过G458	荣成	上海虹桥	14:17	14:19
动车组	过D1623	石家庄	威海	14:36	14:38
城际动车	过C6506	青岛	荣成	14:47	14:49
城际动车	过C6492	青岛	荣成	14:47	14:49
高速动车	过G5584	威海	曲阜东	14:54	14:56
动车组	过D6076	荣成	济南	15:05	15:07
高速动车	过G470	威海	北京南	15:22	15:24
动车组	过D6079	济南	威海	15:26	15:28
高速动车	过G2652	沈阳北	荣成	15:59	16:01
动车组	过D1622	荣成	石家庄	16:01	16:03
高速动车	过G2080	运城北	威海	16:35	16:37
动车组	过D1624	威海	石家庄	16:36	16:38
高速动车	过G6988	荣成	枣庄	17:25	17:27
城际动车	过C6504	荣成	青岛	17:34	17:36
城际动车	过C6498	荣成	青岛	17:34	17:36
高速动车	过G2052	西安北	威海	17:43	17:45
高速动车	过G1844	西安北	荣成	17:53	17:56
城际动车	过C6588	威海	青岛	17:57	17:59
高速动车	过G2082	武汉	威海	18:11	18:13
高速动车	过G2064	太原南	荣成	18:38	18:40
动车组	过D6096	荣成	烟台	18:54	18:56
城际动车	过C6582	威海	青岛北	19:14	19:16
城际动车	过C6510	青岛	荣成	19:39	19:41
城际动车	过C6486	青岛	荣成	19:39	19:41
高速动车	过G6936	威海	济南东	19:47	19:49
高速动车	过G2686	兰州西	威海	19:52	19:54
动车组	过D6075	济南	威海	20:03	20:05
高速动车	过G6938	威海	济南东	20:09	20:12
城际动车	过C6576	荣成	青岛北	20:26	20:28
动车组	过D1615	石家庄	威海	20:41	20:43
高速动车	过G6940	荣成	济南东	20:57	21:00
高速动车	过G475	北京南	荣成	20:58	21:00
动车组	过D6077	平原东	荣成	21:10	21:12
高速动车	过G6946	威海	济南东	21:17	21:19
高速动车	过G6939	济南西	威海	21:21	21:23
高速动车	过G5586	曲阜东	威海	22:12	22:15
