列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K473	北京	昆明	1:34	1:38
快速	过K474	昆明	北京	5:15	5:21
快速	过K2286	昆明	长春	6:00	6:05
城际动车	终C2902	郑州	焦作	6:54	-
城际动车	终C2922	郑州	焦作	8:08	-
城际动车	始C2877	焦作	新郑机场	-	8:46
城际动车	始C2901	焦作	南阳寨	-	9:08
城际动车	终C2962	郑州	焦作	9:55	-
城际动车	终C2876	新郑机场	焦作	10:14	-
城际动车	始C2961	焦作	南阳寨	-	10:16
城际动车	终C2993	郑州东	焦作	10:38	-
城际动车	终C2904	南阳寨	焦作	10:55	-
城际动车	始C2903	焦作	郑州	-	11:12
城际动车	始C2921	焦作	郑州	-	11:20
城际动车	终C2964	南阳寨	焦作	11:43	-
普客	过6905	新乡	长治北	12:07	12:09
城际动车	始C2963	焦作	郑州	-	12:17
城际动车	终C2906	郑州	焦作	12:38	-
高速动车	始G1821	焦作	上海虹桥	-	12:50
城际动车	始C2905	焦作	郑州	-	12:57
城际动车	终C2924	郑州	焦作	13:06	-
城际动车	终C2900	新郑机场	焦作	13:13	-
城际动车	始C2923	焦作	郑州	-	13:25
高速动车	始G549	焦作	深圳北	-	13:32
城际动车	终C2966	郑州	焦作	13:42	-
城际动车	始C2965	焦作	郑州	-	13:57
普客	过6907	长治北	新乡	14:06	14:09
城际动车	终C2908	郑州	焦作	14:25	-
城际动车	始C2907	焦作	郑州	-	14:40
城际动车	终C2926	郑州	焦作	15:12	-
城际动车	终C2968	郑州	焦作	15:28	-
快速	过K269	北京西	洛阳	15:24	15:29
城际动车	始C2885	焦作	新郑机场	-	15:31
快速	过K1163	北京西	长治北	15:37	15:40
城际动车	始C2967	焦作	郑州	-	16:16
城际动车	终C2910	郑州	焦作	16:27	-
城际动车	终C2884	新郑机场	焦作	16:42	-
城际动车	始C2909	焦作	郑州	-	16:49
城际动车	始C2925	焦作	郑州	-	17:38
城际动车	终C2970	郑州	焦作	17:58	-
高速动车	终G1810	上海虹桥	焦作	18:46	-
快速	过K2288	长春	昆明	18:50	18:55
城际动车	终C2912	郑州	焦作	19:03	-
普快	过1552	连云港东	太原	19:03	19:08
快速	过K589	北京西	重庆	19:16	19:21
城际动车	始C2911	焦作	郑州	-	19:29
城际动车	始C2969	焦作	郑州	-	20:00
城际动车	始C2991	焦作	郑州东	-	20:24
快速	过K590	重庆	北京西	20:41	20:46
城际动车	终C2914	郑州	焦作	21:09	-
普快	过1551	太原	连云港东	21:05	21:10
快速	过K1165	长治北	北京西	21:35	21:39
快速	过K270	洛阳	北京西	21:53	21:58
城际动车	始C2913	焦作	郑州	-	22:10
