列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K884	太原	青岛北	0:01	0:21
快速	过K214	西安	天津	0:14	0:30
直达特快	过Z358	伊宁	济南	0:21	0:37
快速	过K610	韩城	北京	0:30	0:43
快速	过K882	青岛北	太原	4:03	4:17
直达特快	过Z268	上海	呼和浩特	4:27	4:44
快速	过K868	唐山	临汾	4:42	4:54
直达特快	过Z194	沈阳北	太原	4:56	5:17
快速	过K609	北京	韩城	5:11	5:26
直达特快	过Z44	西安	北京西	5:36	5:49
直达特快	过Z22	拉萨	北京西	5:45	5:55
直达特快	过Z275	银川	北京西	5:55	6:01
快速	过K564	海门	太原	5:45	6:07
快速	过K1285	银川	青岛北	6:14	6:22
直达特快	过Z196	上海	太原	6:04	6:24
特快	过T42	西安	北京西	6:21	6:26
特快	过T176	西宁	北京西	6:39	6:45
快速	过K1805	银川	杭州	6:32	6:46
快速	过K1572	吉林	重庆西	6:41	6:56
快速	过K1117	包头	北京西	7:22	7:39
快速	始K5275	石家庄北	阳泉	-	8:10
快速	过K980	齐齐哈尔	西宁	7:46	8:16
快速	过K1806	杭州	银川	8:54	9:00
特快	过T8	成都	北京西	9:29	9:38
直达特快	过Z56	兰州	北京西	10:58	11:04
快速	过K546	成都	哈尔滨	12:15	12:31
快速	终K7709	天津	石家庄北	12:54	-
直达特快	过Z69	北京西	乌鲁木齐	12:44	13:12
快速	过K5203	天津	潞城	13:12	13:18
快速	过K1332	上海	银川	13:04	13:22
快速	终K5276	阳泉	石家庄北	13:29	-
直达特快	过Z356	济南	伊宁	13:20	13:31
快速	始K7710	石家庄北	天津	-	13:39
快速	过K978	西宁	齐齐哈尔	13:37	13:57
旅游	终Y503	衡水	石家庄北	14:09	-
快速	过K1574	重庆西	吉林	14:16	14:26
快速	过K892	杭州	大同	13:59	14:30
旅游	始Y504	石家庄北	衡水	-	15:22
快速	过K5204	潞城	天津	15:49	15:59
特快	过T175	北京西	西宁	15:55	16:01
快速	过K1115	北京西	包头	16:29	16:48
特快	过T41	北京西	西安	17:15	17:28
直达特快	过Z70	乌鲁木齐	北京西	17:37	17:43
直达特快	过Z55	北京西	兰州	17:33	17:57
快速	过K566	太原	海门	17:54	18:05
快速	过K891	大同	杭州	18:03	18:25
快速	过K1396	温州	太原	17:51	18:26
快速	过K548	哈尔滨	成都	17:59	18:34
特快	过T7	北京西	成都	19:31	20:03
快速	过K213	天津	西安	20:25	20:35
快速	过K729	广州东	大同	20:12	20:45
快速	过K1292	太原	烟台	20:16	21:06
快速	过K258	成都	天津	21:32	21:40
快速	过K1286	青岛北	银川	21:38	21:46
直达特快	过Z198	太原	上海	22:04	22:12
快速	过K257	天津	成都	22:07	22:12
直达特快	过Z21	北京西	拉萨	22:34	22:38
直达特快	过Z277	北京西	银川	22:40	22:47
直达特快	过Z267	呼和浩特	上海	22:22	22:52
直达特快	过Z43	北京西	西安	22:46	22:55
快速	过K866	运城	唐山	22:47	22:58
直达特快	过Z192	太原	沈阳北	23:02	23:20
快速	过K731	大同	广州东	23:10	23:28
快速	过K1398	太原	温州	23:28	23:40
快速	过K1331	银川	上海	23:42	23:48
