列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	始D6201	福州	厦门	-	6:21
动车组	始D6572	福州	赣州	-	6:38
高速动车	始G1672	福州	南京南	-	6:48
动车组	始D2242	福州	成都东	-	6:55
高速动车	始G302	福州	北京南	-	7:01
快速	始K1092	福州	徐州	-	7:03
动车组	始D6207	福州	厦门	-	7:10
高速动车	始G1756	福州	成都东	-	7:10
高速动车	始G1274	福州	沈阳南	-	7:25
高速动车	始G5067	福州	萍乡北	-	7:28
动车组	始D3102	福州	上海虹桥	-	7:40
动车组	始D6409	福州	长汀南	-	7:46
高速动车	始G56	福州	北京南	-	7:53
高速动车	始G1628	福州	长沙南	-	7:58
高速动车	始G1632	福州	上海虹桥	-	7:59
快速	始K804	福州	重庆西	-	7:59
高速动车	始G1609	福州	广州南	-	8:05
高速动车	始G1902	福州	兰州西	-	8:13
高速动车	过G1648	福州南	武汉	8:12	8:19
城际动车	始C9531	福州	厦门	-	8:25
动车组	始D6336	福州	福鼎	-	8:33
高速动车	始G1698	福州	昆明南	-	8:41
动车组	始D9895	福州	赣州	-	8:43
动车组	始D2226	福州	重庆北	-	8:48
动车组	始D6217	福州	厦门	-	8:50
高速动车	过G2046	厦门北	郑州东	8:50	8:53
特快	始T8006	福州	松溪	-	8:59
高速动车	始G1634	福州	上海虹桥	-	9:01
动车组	始D6213	福州	厦门北	-	9:05
特快	始T306	福州	乌鲁木齐	-	9:08
快速	终K525	南京	福州	9:09	-
动车组	始D6407	福州	龙岩	-	9:21
高速动车	终G5105	上饶	福州	9:22	-
高速动车	过G242	厦门	青岛	9:25	9:27
动车组	终D6541	建宁县北	福州	9:40	-
动车组	始D9957	福州	赣州	-	9:42
动车组	终D3109	温州南	福州	9:53	-
高速动车	始G28	福州	北京南	-	9:53
动车组	过D6324	龙岩	福鼎	9:49	9:55
高速动车	始G330	福州	天津西	-	9:58
动车组	始D6203	福州	厦门	-	10:00
动车组	过D6312	福州南	福州南	10:05	10:10
动车组	终D6329	福鼎	福州	10:11	-
动车组	始D6219	福州	厦门	-	10:13
直达特快	始Z392	福州	成都	-	10:16
动车组	过D2325	上饶	深圳北	10:17	10:22
高速动车	过G1676	厦门	南京南	10:17	10:22
高速动车	过G9874	厦门	景德镇北	10:26	10:30
快速	始K1268	福州	重庆西	-	10:36
动车组	过D4653	南平市	宁波	10:31	10:37
高速动车	始G648	福州	郑州东	-	10:45
动车组	过D3303	南昌西	宁波	10:43	10:48
高速动车	过G1652	厦门	上海虹桥	10:45	10:51
动车组	始D6221	福州	诏安	-	10:55
高速动车	终G5314	南昌	福州	11:04	-
高速动车	过G1616	厦门	长沙南	11:05	11:10
动车组	终D6206	厦门	福州	11:21	-
高速动车	终G5262	龙岩	福州	11:27	-
高速动车	始G860	福州	西安北	-	11:30
动车组	终D6501	南昌	福州	11:42	-
高速动车	过G1653	上海虹桥	厦门北	11:54	11:58
高速动车	始G2338	福州	南宁东	-	12:02
动车组	终D6208	厦门	福州	12:03	-
动车组	始D6223	福州	厦门	-	12:05
特快	终T8007	松溪	福州	12:17	-
动车组	终D6335	福鼎	福州	12:25	-
高速动车	始G1636	福州	上海虹桥	-	12:26
动车组	始D2331	福州	深圳北	-	12:27
高速动车	终G1631	上海虹桥	福州	12:38	-
高速动车	过G1667	南京南	厦门北	12:29	12:38
动车组	过D3239	南京南	厦门北	12:37	12:41
动车组	始D6225	福州	厦门	-	12:45
高速动车	过G356	厦门北	北京南	12:47	12:52
高速动车	过G1611	合肥南	厦门北	12:55	12:58
高速动车	始G1638	福州	上海虹桥	-	12:58
动车组	始D6504	福州	南昌	-	13:11
动车组	过D2352	深圳北	南平市	13:13	13:16
高速动车	过G1669	徐州东	厦门北	13:13	13:16
动车组	终D6577	赣州	福州	13:19	-
快速	始K526	福州	南京	-	13:23
高速动车	过G1692	长沙南	厦门北	13:24	13:27
高速动车	过G4206	厦门	长沙南	13:25	13:29
动车组	过D6318	厦门	厦门	13:34	13:41
动车组	终D6503	南昌西	福州	13:43	-
动车组	过D6242	厦门	南平市	13:43	13:48
高速动车	过G1661	蚌埠南	龙岩	13:53	13:58
动车组	终D6210	厦门	福州	14:00	-
快速	终K32	洛阳	福州	14:03	-
高速动车	过G1655	上海虹桥	厦门北	13:58	14:06
