列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K1285	银川	青岛北	23:58	0:04
快速	过K1674	西安	呼和浩特	23:59	0:05
快速	过K8165	榆林	宝鸡	0:11	0:17
快速	过K1805	银川	杭州	0:18	0:25
特快	过T267	鄂尔多斯	西安	0:25	0:29
特快	过T42	西安	北京西	1:04	1:34
快速	过K691	呼和浩特	昆明	1:32	1:38
特快	过T176	西宁	北京西	1:50	1:53
快速	过K1315	呼和浩特东	福州	3:02	3:10
快速	过K213	天津	西安	2:36	3:20
快速	过K1286	青岛北	银川	3:54	3:58
快速	过K1673	呼和浩特	西安	4:46	4:54
快速	过K8204	安康	神木	5:10	5:12
快速	过K1574	重庆西	吉林	6:25	7:00
快速	过K978	西宁	齐齐哈尔	7:06	7:10
普客	过7005	榆林	西安	9:14	9:19
快速	过K1578	乌海西	太原	10:10	10:13
直达特快	过Z268	上海	呼和浩特	10:32	10:39
快速	过K321	银川	西安	12:38	12:44
直达特快	过Z70	乌鲁木齐	北京西	12:47	12:52
动车组	过D5100	西安	榆林	13:15	13:17
快速	过K1572	吉林	重庆西	13:06	13:36
快速	过K980	齐齐哈尔	西宁	14:18	14:22
快速	过K998	成都	海拉尔	14:29	14:35
快速	过K1806	杭州	银川	15:18	15:23
动车组	过D5099	榆林	西安	15:50	15:52
快速	过K655	呼和浩特	杭州	16:09	16:14
快速	过K322	西安	银川	16:13	16:16
特快	过T268	西安	鄂尔多斯	16:42	16:46
快速	过K5488	西安	神木	16:56	17:01
直达特快	过Z267	呼和浩特	上海	17:15	17:20
快速	过K1331	银川	上海	17:35	17:39
直达特快	过Z69	北京西	乌鲁木齐	17:47	17:49
普客	过7006	西安	榆林	18:14	18:21
快速	过K214	西安	天津	18:03	18:33
快速	过K1577	太原	乌海西	18:28	18:35
快速	过K1332	上海	银川	19:14	19:17
直达特快	过Z358	伊宁	济南	19:23	19:28
动车组	过D5098	西安	榆林	20:15	20:17
快速	过K8168	宝鸡	榆林	20:47	20:52
特快	过T175	北京西	西宁	21:28	21:31
快速	过K1688	乌海西	西安	22:23	22:29
快速	过K996	海拉尔	成都	22:48	22:53
快速	过K1686	西安	乌海西	23:08	23:14
特快	过T41	北京西	西安	23:10	23:45
快速	过K8203	神木	安康	23:43	23:51
