列车类型	车次	始发站	终到站	到站时间	发车时间
普快	过5042	威海	曹县	1:03	1:05
快速	过K412	威海	北京	2:10	2:14
快速	过K1050	温州	青岛北	5:13	5:17
普快	过5020	曹县	烟台	5:30	5:34
快速	过K876	昆明	烟台	5:46	5:49
普快	过5028	曹县	青岛北	5:58	6:00
快速	过K1596	郑州	烟台	6:15	6:20
快速	过K1394	佳木斯	烟台	6:28	6:31
快速	过K8265	平度西	青岛	8:06	8:10
普快	过5026	青岛北	曹县	8:55	9:00
快速	过K411	北京	威海	9:47	9:49
快速	过K1132	宝鸡	烟台	10:15	10:20
快速	过K1216	青岛北	石家庄	10:55	10:58
快速	过K970	青岛北	通化	11:07	11:10
快速	过K1026	青岛北	兰州	11:33	11:36
普快	过5018	烟台	曹县	12:04	12:10
快速	过K1052	青岛北	温州	12:18	12:32
快速	过K1286	青岛北	银川	12:58	13:01
快速	过K8316	菏泽	青岛	14:16	14:20
快速	过K1066	威海	汉口	14:42	14:47
快速	过K958	白城	青岛北	14:54	14:58
快速	过K1285	银川	青岛北	15:18	15:21
快速	过K8267	平度西	青岛北	16:09	16:12
普快	过5048	菏泽	青岛	16:31	16:33
快速	过K1130	烟台	宝鸡	18:29	18:31
快速	过K8278	曹县	青岛	18:43	18:47
快速	过K8268	青岛北	平度西	18:42	18:52
快速	过K1392	烟台	佳木斯	19:50	19:55
快速	过K1598	烟台	郑州	20:12	20:15
快速	过K8318	青岛	菏泽	20:23	20:27
普快	过5046	烟台	菏泽	20:35	20:40
快速	过K878	烟台	昆明	20:58	21:06
普快	过5038	青岛	枣庄西	21:18	21:21
