列车类型	车次	始发站	终到站	到站时间	发车时间
城际动车	始C6552	荣成	青岛北	-	6:30
城际动车	始C6482	荣成	青岛北	-	6:31
动车组	始D6072	荣成	济南	-	7:02
动车组	终D6095	烟台	荣成	7:41	-
高速动车	始G476	荣成	北京南	-	8:48
城际动车	终C6555	青岛北	荣成	8:56	-
城际动车	终C6489	青岛北	荣成	9:02	-
动车组	终D6093	烟台	荣成	9:17	-
城际动车	终C6557	青岛北	荣成	9:29	-
城际动车	始C6494	荣成	青岛	-	9:44
城际动车	始C6516	荣成	青岛	-	9:50
动车组	始D6074	荣成	济南	-	9:59
高速动车	始G1846	荣成	西安北	-	10:08
动车组	终D6073	济南	荣成	10:10	-
高速动车	始G2654	荣成	沈阳北	-	10:18
高速动车	终G6935	济南东	荣成	11:33	-
城际动车	终C6563	青岛北	荣成	11:46	-
高速动车	始G478	荣成	北京南	-	12:09
高速动车	终G6986	枣庄	荣成	12:18	-
城际动车	终C6483	青岛北	荣成	12:30	-
城际动车	始C6484	荣成	青岛	-	12:48
城际动车	始C6508	荣成	青岛	-	12:55
高速动车	始G2062	荣成	太原南	-	13:04
高速动车	终G6982	枣庄	荣成	13:14	-
高速动车	始G458	荣成	上海虹桥	-	13:19
动车组	始D6076	荣成	济南	-	14:19
动车组	终D1621	石家庄	荣成	14:24	-
高速动车	终G456	上海虹桥	荣成	15:07	-
动车组	始D1622	荣成	石家庄	-	15:09
城际动车	终C6506	青岛	荣成	15:36	-
城际动车	终C6492	青岛	荣成	15:36	-
高速动车	始G6988	荣成	枣庄	-	16:38
城际动车	始C6498	荣成	青岛	-	16:47
城际动车	始C6504	荣成	青岛	-	16:48
高速动车	终G2652	沈阳北	荣成	16:55	-
动车组	始D6096	荣成	烟台	-	18:08
高速动车	终G1844	西安北	荣成	18:49	-
高速动车	终G2064	太原南	荣成	19:26	-
城际动车	始C6576	荣成	青岛北	-	19:34
高速动车	始G6940	荣成	济南东	-	20:11
城际动车	终C6510	青岛	荣成	20:29	-
城际动车	终C6486	青岛	荣成	20:35	-
动车组	终D6077	平原东	荣成	21:59	-
高速动车	终G475	北京南	荣成	22:04	-
