列车类型	车次	始发站	终到站	到站时间	发车时间
特快	过T248	成都东	武昌	1:36	1:48
直达特快	过Z230	深圳	乌鲁木齐	1:31	1:50
快速	过K804	福州	重庆西	1:51	2:16
快速	过K424	成都	宁波	2:17	2:32
快速	过K422	宁波	成都	2:25	2:40
直达特快	过Z232	乌鲁木齐	深圳	3:13	3:23
快速	过K770	广州	汉中	3:35	3:45
快速	过K806	重庆西	福州	3:37	3:46
直达特快	过Z124	成都	广州	3:55	4:10
特快	过T128	东莞东	成都	4:33	4:44
直达特快	过Z390	成都	福州	6:53	7:10
快速	过K642	广州	十堰	8:58	9:06
快速	终K1127	上海南	襄州	11:13	-
特快	过T126	成都	东莞东	11:38	12:00
快速	过K1296	广州	银川	11:58	12:12
直达特快	过Z122	广州	成都	12:08	12:21
快速	过K351	上海南	成都	12:31	12:41
快速	过K756	广州	洛阳	12:53	13:39
快速	过K352	成都	上海南	13:33	14:00
快速	始K1128	襄州	上海南	-	14:30
快速	过K644	十堰	广州	19:16	19:30
直达特快	过Z392	福州	成都	20:36	20:46
快速	过K1295	银川	广州	20:44	20:53
快速	过K758	洛阳	广州	20:55	21:05
特快	过T246	武昌	成都东	23:02	23:22
快速	过K768	汉中	广州	23:17	23:25
