列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K1174	达州	惠州	23:44	0:09
快速	过K356	广州	重庆西	2:16	2:23
特快	过T236	昆山	重庆西	1:52	2:34
快速	过K904	厦门北	太原	2:08	2:45
快速	过K2288	长春	昆明	2:17	3:00
快速	过K1062	哈尔滨西	重庆	2:54	3:14
快速	过K1173	惠州	达州	2:49	3:21
快速	过K1156	上海	成都	3:03	3:32
快速	过K589	北京西	重庆	3:07	3:39
快速	过K903	太原	厦门北	3:31	3:50
快速	过K1152	杭州	重庆西	3:32	4:02
快速	过K117	北京西	成都	4:05	4:26
特快	过T9	北京西	重庆西	4:59	5:13
快速	过K267	北京西	怀化	5:47	6:08
特快	过T49	北京西	宜昌东	6:08	6:15
快速	终K936	广州东	襄阳	7:09	-
快速	始K1658	襄阳	深圳东	-	7:10
直达特快	过Z332	深圳东	成都东	7:10	7:43
快速	过K258	成都	天津	8:07	8:28
快速	终K1656	深圳东	襄阳	8:43	-
快速	终K976	哈尔滨西	襄阳	8:50	-
快速	过K123	上海南	十堰	8:17	8:55
快速	始K1473	襄阳	湛江	-	9:26
快速	终K932	广州东	襄阳	9:34	-
快速	过K536	深圳	洛阳	9:26	9:52
快速	过K473	北京	昆明	9:36	10:05
快速	过K1064	重庆	哈尔滨西	10:18	10:38
快速	过K261	北京西	汉中	10:49	11:09
特快	过T284	乌鲁木齐	南宁	11:00	11:26
快速	过K284	成都	上海	11:18	11:38
快速	始K931	襄阳	广州东	-	11:45
快速	过K206	成都	青岛	11:25	11:47
快速	始K1198	襄阳	青岛北	-	12:00
快速	过K257	天津	成都	11:38	12:05
直达特快	过Z334	成都东	深圳东	11:56	12:14
快速	过K590	重庆	北京西	12:12	12:35
快速	过K358	重庆西	广州	12:22	12:42
快速	始K974	襄阳	哈尔滨西	-	13:10
快速	过K118	成都	北京西	13:05	13:30
快速	始K8051	襄阳	宜昌东	-	13:33
快速	过K208	青岛	成都	13:17	13:36
快速	过K124	十堰	上海南	13:37	13:59
快速	过K282	上海	成都	16:50	17:14
快速	过K627	西安南	宜昌东	18:03	18:25
特快	过T238	重庆西	昆山	18:12	18:48
快速	终K1474	湛江	襄阳	19:00	-
特快	过T282	南宁	乌鲁木齐	18:34	19:12
快速	过K268	怀化	北京西	19:11	19:30
快速	始K935	襄阳	广州东	-	19:40
快速	过K474	昆明	北京	20:50	21:19
快速	过K1158	成都	上海	21:07	21:32
特快	过T10	重庆西	北京西	21:16	21:38
快速	过K2286	昆明	长春	21:06	21:45
快速	终K1196	青岛北	襄阳	21:45	-
快速	过K262	汉中	北京西	21:45	22:10
快速	过K1154	重庆西	杭州	21:52	22:12
特快	过T50	宜昌东	北京西	22:22	22:58
快速	过K628	宜昌东	西安南	22:43	23:08
快速	过K538	洛阳	深圳	22:48	23:13
快速	过K16	重庆西	济南	23:09	23:37
快速	过K15	济南	重庆西	23:24	23:45
