列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K2286	昆明	长春	2:27	2:43
直达特快	过Z162	昆明	北京西	2:42	2:57
快速	过K80	昆明	上海南	2:49	3:03
快速	过K138	昆明	南通	2:34	3:09
直达特快	过Z53	北京西	昆明	2:55	3:10
快速	过K136	南通	昆明	2:47	3:17
快速	过K474	昆明	北京	3:07	3:30
快速	过K726	昆明	哈尔滨西	3:46	4:14
快速	过K473	北京	昆明	4:04	4:22
快速	过K1502	昆明	乌鲁木齐	3:53	4:32
快速	过K142	南宁	成都	4:20	4:47
快速	终K9503	昭通	贵阳	4:57	-
快速	过K872	湛江	成都东	4:57	5:24
快速	过K728	哈尔滨西	昆明	4:43	5:24
快速	始K9369	贵阳	六盘水	-	5:31
快速	过K692	昆明	呼和浩特	5:22	6:08
快速	始K9581	贵阳	草海	-	7:01
快速	始K9515	贵阳	昭通	-	7:20
快速	始K9355	贵阳	大方南	-	7:40
城际动车	始C6361	贵阳	开阳	-	8:05
快速	始K112	贵阳	上海南	-	9:15
快速	终K1032	西安	贵阳	9:31	-
快速	终K841	广州	贵阳	9:43	-
快速	终K944	温州	贵阳	10:15	-
快速	终K833	上海南	贵阳	10:52	-
快速	始K9585	贵阳	草海	-	11:10
快速	始K942	贵阳	温州	-	11:20
直达特快	终Z149	北京西	贵阳	11:28	-
快速	终K9388	纳雍	贵阳	11:39	-
快速	过K878	烟台	昆明	11:14	11:41
普快	始5645	贵阳	昭通	-	11:48
快速	始K9501	贵阳	昭通	-	12:41
普快	始5640	贵阳	玉屏	-	13:08
快速	终K9379	麻尾	贵阳	13:32	-
直达特快	过Z54	昆明	北京西	13:35	13:52
快速	过K496	六盘水	上海南	13:42	14:10
快速	终K848	宁波	贵阳	14:36	-
快速	始K508	贵阳	北京西	-	14:47
快速	终K507	北京西	贵阳	14:58	-
快速	过K876	昆明	烟台	14:30	15:00
普快	终5639	玉屏	贵阳	15:44	-
快速	过K1504	乌鲁木齐	昆明	15:34	15:57
直达特快	过Z161	北京西	昆明	15:59	16:07
快速	始K842	贵阳	广州	-	16:26
快速	终K9357	大方南	贵阳	16:38	-
快速	始K9380	贵阳	麻尾	-	16:42
直达特快	过Z288	昆明	宁波	16:44	17:15
快速	始K1034	贵阳	西安	-	17:40
快速	终K9583	草海	贵阳	17:47	-
快速	始K9387	贵阳	纳雍	-	17:49
快速	终K111	上海南	贵阳	18:28	-
直达特快	始Z150	贵阳	北京西	-	18:30
普快	终5647	昭通	贵阳	19:10	-
快速	过K491	济南	昆明	19:55	20:26
直达特快	过Z290	宁波	昆明	20:02	20:33
快速	始K834	贵阳	上海南	-	20:42
快速	过K492	昆明	济南	20:16	20:49
快速	终K9517	昭通	贵阳	21:09	-
快速	始K846	贵阳	宁波	-	21:55
快速	过K2288	长春	昆明	21:46	21:58
快速	过K79	上海南	昆明	21:55	22:07
快速	终K495	上海南	贵阳	22:17	-
快速	过K144	成都	南宁	21:52	22:23
快速	过K874	成都东	湛江	22:03	22:35
快速	终K9587	草海	贵阳	22:37	-
快速	过K691	呼和浩特	昆明	23:12	23:42
