列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	始G4352	贵阳北	铜仁	-	6:00
高速动车	始G5341	贵阳北	六盘水	-	6:15
高速动车	始G8670	贵阳北	贵阳北	-	6:49
高速动车	始G1332	贵阳北	杭州东	-	6:52
城际动车	始C5942	贵阳北	毕节	-	7:00
高速动车	始G2981	贵阳北	昆明南	-	7:12
动车组	始D3561	贵阳北	北海	-	7:18
城际动车	始C5974	贵阳北	成都东	-	7:28
高速动车	始G2364	贵阳北	宁波	-	7:37
城际动车	始C5976	贵阳北	成都东	-	7:40
高速动车	始G2969	贵阳北	昆明南	-	7:46
动车组	始D1960	贵阳北	太原南	-	7:48
动车组	始D808	贵阳北	兰州	-	7:53
高速动车	始G1484	贵阳北	南京南	-	7:58
动车组	始D211	贵阳北	广州南	-	8:00
动车组	始D8556	贵阳北	重庆西	-	8:02
动车组	始D2803	贵阳北	广州南	-	8:10
高速动车	始G2116	贵阳北	长沙南	-	8:11
动车组	过D939	北京西	昆明南	8:06	8:12
动车组	始D1702	贵阳北	西安北	-	8:13
城际动车	始C5978	贵阳北	成都东	-	8:14
高速动车	始G5343	贵阳北	六盘水	-	8:20
高速动车	过G2954	六盘水	广州南	8:19	8:24
城际动车	过C6361	贵阳	开阳	8:19	8:25
动车组	始D2807	贵阳北	广州南	-	8:32
高速动车	始G82	贵阳北	北京西	-	8:37
城际动车	始C5980	贵阳北	成都东	-	8:38
城际动车	终C5941	毕节	贵阳北	8:40	-
高速动车	始G2929	贵阳北	深圳北	-	8:44
高速动车	始G2334	贵阳北	宁海	-	8:49
动车组	始D2809	贵阳北	广州南	-	9:00
城际动车	始C5946	贵阳北	毕节	-	9:00
高速动车	终G5342	六盘水	贵阳北	9:03	-
城际动车	终C5963	毕节	贵阳北	9:05	-
高速动车	始G1322	贵阳北	上海虹桥	-	9:06
城际动车	始C5984	贵阳北	成都东	-	9:10
高速动车	始G5345	贵阳北	六盘水	-	9:23
高速动车	始G8656	贵阳北	成都东	-	9:28
