列车类型	车次	始发站	终到站	到站时间	发车时间
直达特快	过Z148	深圳东	郑州	0:12	0:16
直达特快	过Z334	成都东	深圳东	0:18	0:22
快速	过K744	厦门北	郑州	0:12	0:30
快速	过K793	上饶	广州东	0:29	0:34
快速	过K87	景德镇北	广州	0:38	0:44
快速	过K116	深圳	九江	0:39	0:45
快速	过K132	兰州	深圳西	0:45	0:51
快速	过K92	深圳东	南通	0:55	0:59
特快	过T221	合肥	广州东	1:05	1:11
快速	过K800	汕头	武昌	1:09	1:15
快速	过K85	广州	景德镇北	1:32	1:36
特快	过T101	上海南	深圳	1:25	1:43
快速	过K1020	深圳东	九江	1:44	1:48
直达特快	过Z186	深圳	沈阳北	2:01	2:05
快速	过K210	广州	宁波	1:54	2:15
快速	过K1284	济南	深圳东	6:02	6:10
动车组	始D3137	赣州	南京	-	6:16
特快	过T156	汉口	广州东	6:16	6:22
快速	过K742	郑州	厦门北	6:08	6:28
快速	过K1310	西宁	深圳东	6:22	6:28
快速	过K94	南通	深圳东	6:34	6:40
快速	过K304	连云港东	广州	6:28	6:51
快速	终K469	无锡	赣州	7:08	-
动车组	始D2357	赣州	深圳北	-	7:16
快速	过K212	宁波	广州	6:53	7:18
动车组	始D6581	赣州	厦门	-	7:24
快速	过K822	信阳	深圳东	7:27	7:33
动车组	始D6577	赣州	福州	-	8:00
快速	过K36	苏州	深圳	8:02	8:06
快速	过K1666	广州东	南昌	7:55	8:18
动车组	终D6488	瑞金	赣州	8:46	-
快速	始K8724	赣州	南昌	-	9:15
直达特快	过Z146	郑州	深圳东	9:11	9:18
动车组	始D6595	赣州	福鼎	-	9:33
快速	过K8726	定南	九江	10:10	10:16
快速	过K527	南京	广州	9:53	10:22
动车组	终D6678	厦门北	赣州	10:24	-
动车组	始D3147	赣州	上海虹桥	-	10:53
直达特快	过Z104	厦门北	长春	10:51	11:08
快速	终K1453	北京西	赣州	11:31	-
动车组	终D6572	福州	赣州	11:37	-
动车组	过D727	北京西	深圳	11:43	11:49
动车组	始D6583	赣州	厦门	-	12:01
快速	始K1454	赣州	北京西	-	12:07
快速	过K677	徐州	广州东	12:30	12:36
动车组	始D9875	赣州	福州南	-	12:54
直达特快	过Z112	海口	哈尔滨西	12:39	13:02
快速	过K904	厦门北	太原	12:52	13:15
快速	过K675	广州东	徐州	13:22	13:26
特快	过T398	深圳	青岛	13:54	14:00
快速	过K570	东莞东	齐齐哈尔	14:08	14:12
快速	过K1665	南昌	广州东	14:03	14:22
快速	过K446	深圳	西安	14:23	14:27
动车组	终D9895	福州	赣州	14:28	-
快速	过K528	广州	南京	14:14	14:40
动车组	始D9897	赣州	福州	-	14:50
特快	过T396	青岛	深圳	14:48	14:52
快速	过K572	厦门北	北京西	14:42	15:02
快速	过K568	齐齐哈尔	东莞东	15:02	15:06
动车组	终D9957	福州	赣州	15:09	-
快速	过K1620	深圳东	天津	15:16	15:20
动车组	终D6582	厦门	赣州	15:25	-
动车组	始D9959	赣州	福州	-	15:45
直达特快	过Z114	哈尔滨西	海口	15:54	16:22
动车组	始D6571	赣州	福州	-	16:29
快速	过K571	北京西	厦门北	16:05	16:36
直达特快	过Z182	深圳东	包头	16:56	17:00
特快	过T128	东莞东	成都	17:06	17:12
快速	过K8725	九江	定南	17:16	17:22
快速	过K106	深圳	北京西	17:35	17:39
快速	始K470	赣州	无锡	-	17:45
快速	过K903	太原	厦门北	17:30	17:51
特快	过T219	广州东	合肥	17:54	17:58
动车组	终D3145	上海虹桥	赣州	18:05	-
动车组	始D6677	赣州	厦门北	-	18:20
快速	过K302	广州	徐州	18:00	18:26
直达特快	过Z102	长春	厦门北	18:00	18:33
快速	过K1656	深圳东	襄阳	18:34	18:40
快速	过K34	深圳	苏州	18:43	18:47
快速	过K134	深圳西	兰州	18:59	19:06
特快	过T212	深圳	上海南	19:06	19:26
动车组	终D2358	深圳北	赣州	19:34	-
动车组	终D6575	福州	赣州	19:43	-
快速	终K8723	南昌	赣州	19:53	-
动车组	过D728	深圳	北京西	20:03	20:07
动车组	终D6597	福鼎	赣州	20:13	-
动车组	始D6485	赣州	瑞金	-	20:14
直达特快	过Z332	深圳东	成都东	20:17	20:20
特快	过T170	广州	上海南	20:10	20:29
动车组	终D6584	厦门	赣州	20:34	-
快速	过K105	北京西	深圳	20:41	20:45
快速	过K731	大同	广州东	20:51	20:55
动车组	终D9873	福州	赣州	21:05	-
快速	过K448	西安	深圳	21:11	21:15
快速	过K1030	东莞东	合肥	21:13	21:17
快速	过K1658	襄阳	深圳东	21:19	21:25
直达特快	过Z188	沈阳北	深圳	21:35	21:39
直达特快	过Z184	临河	深圳东	21:47	21:51
快速	过K729	广州东	大同	21:47	21:53
快速	过K1282	深圳东	济南	21:58	22:02
快速	过K115	九江	深圳	21:59	22:03
特快	过T155	广州东	汉口	22:04	22:10
快速	过K1622	天津	深圳东	22:06	22:10
快速	过K1019	九江	深圳东	22:27	22:31
动车组	终D3135	南京	赣州	22:40	-
特快	过T102	深圳	上海南	22:21	22:46
快速	过K799	武昌	汕头	22:47	22:53
特快	过T169	上海南	广州	22:53	23:21
快速	过K795	广州东	鹰潭	23:15	23:21
快速	过K1029	合肥	东莞东	23:27	23:31
快速	过K1312	深圳东	西宁	23:37	23:43
特快	过T126	成都	东莞东	23:40	23:44
快速	过K824	深圳东	信阳	23:48	23:54
特快	过T211	上海南	深圳	23:34	23:58
