列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	始G1386	赣州西	上海虹桥	-	6:34
高速动车	始G9808	赣州西	南昌	-	7:33
高速动车	始G5034	赣州西	南昌西	-	8:15
高速动车	始G2286	赣州西	武汉	-	8:51
高速动车	终G5031	南昌西	赣州西	9:26	-
高速动车	始G1462	赣州西	杭州东	-	9:53
高速动车	终G5035	南昌	赣州西	10:35	-
高速动车	终G5037	南昌西	赣州西	10:51	-
高速动车	终G2270	长沙南	赣州西	11:10	-
高速动车	始G5022	赣州西	景德镇北	-	11:20
高速动车	始G2268	赣州西	长沙南	-	11:37
高速动车	终G9805	南昌	赣州西	11:55	-
高速动车	始G492	赣州西	北京西	-	12:43
高速动车	终G1383	上海虹桥	赣州西	12:52	-
高速动车	始G9824	赣州西	南昌西	-	13:34
高速动车	终G9847	南昌西	赣州西	13:40	-
高速动车	始G9848	赣州西	南昌西	-	14:04
高速动车	始G9806	赣州西	南昌	-	15:00
高速动车	始G9846	赣州西	南昌西	-	15:48
高速动车	终G5043	南昌西	赣州西	15:55	-
高速动车	始G5044	赣州西	南昌西	-	16:18
高速动车	终G5045	南昌西	赣州西	16:39	-
高速动车	终G9843	南昌西	赣州西	17:07	-
高速动车	始G9860	赣州西	南昌西	-	17:26
高速动车	始G5046	赣州西	南昌	-	18:02
高速动车	终G2285	武汉	赣州西	18:36	-
高速动车	始G5050	赣州西	南昌西	-	19:19
高速动车	终G9807	南昌	赣州西	19:33	-
高速动车	终G9839	南昌西	赣州西	20:18	-
高速动车	始G9840	赣州西	南昌西	-	20:38
高速动车	终G5021	景德镇北	赣州西	21:12	-
高速动车	终G1461	杭州东	赣州西	21:27	-
高速动车	始G5056	赣州西	南昌西	-	21:40
高速动车	终G491	北京西	赣州西	22:22	-
高速动车	终G1385	上海虹桥	赣州西	23:08	-
