列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K818	成都	北京西	23:54	0:20
快速	过K508	贵阳	北京西	0:08	0:26
快速	过K1064	重庆	哈尔滨西	1:40	1:50
快速	过K358	重庆西	广州	1:59	2:06
快速	过K998	成都	海拉尔	2:09	2:16
直达特快	过Z334	成都东	深圳东	2:16	2:25
快速	过K1032	西安	贵阳	2:19	2:30
快速	过K1034	贵阳	西安	2:29	2:37
快速	过K9421	巴中	成都	2:23	2:50
快速	过K590	重庆	北京西	2:58	3:10
快速	过K1256	温州	成都东	3:08	3:21
特快	过T126	成都	东莞东	3:19	3:30
快速	过K1572	吉林	重庆西	3:22	3:32
快速	过K9422	成都	巴中	3:25	3:56
快速	过K388	沈阳北	成都	4:05	4:11
快速	过K118	成都	北京西	4:43	4:54
快速	过K507	北京西	贵阳	5:43	5:49
城际动车	始C5741	达州	成都东	-	7:10
特快	过T246	武昌	成都东	7:12	7:18
快速	过K817	北京西	成都	7:34	7:44
快速	过K15	济南	重庆西	7:50	8:05
快速	过K689	太原	重庆西	8:03	8:20
动车组	终D5192	南充	达州	8:58	-
快速	过K1096	广州	巴中	8:54	9:02
动车组	始D5181	达州	成都东	-	9:16
快速	过K787	南昌	成都东	9:11	9:23
特快	过T238	重庆西	昆山	9:46	9:53
快速	过K1268	福州	重庆西	9:46	9:53
城际动车	终C5742	成都东	达州	10:00	-
城际动车	始C5743	达州	成都东	-	10:21
动车组	终D5182	成都东	达州	10:28	-
城际动车	过C5782	成都东	巴中	10:21	10:41
动车组	始D5183	达州	成都东	-	10:48
快速	过K804	福州	重庆西	10:44	10:54
特快	过T236	昆山	重庆西	10:52	11:00
城际动车	终C5744	成都东	达州	11:10	-
快速	过K422	宁波	成都	11:03	11:12
快速	过K996	海拉尔	成都	11:11	11:20
城际动车	始C5745	达州	成都东	-	11:30
快速	过K1062	哈尔滨西	重庆	11:18	11:39
快速	过K589	北京西	重庆	11:38	11:46
普快	过5615	巴中	南充	11:35	12:06
快速	过K1156	上海	成都	12:07	12:17
快速	过K117	北京西	成都	12:20	12:27
快速	过K1152	杭州	重庆西	12:27	12:35
快速	过K356	广州	重庆西	12:37	12:45
快速	过K1154	重庆西	杭州	12:38	12:46
特快	过T128	东莞东	成都	12:45	12:54
快速	终K1173	惠州	达州	12:54	-
快速	过K1158	成都	上海	12:48	12:54
特快	过T10	重庆西	北京西	12:56	13:06
特快	过T9	北京西	重庆西	13:09	13:15
快速	过K692	昆明	呼和浩特	13:15	13:23
城际动车	终C5746	成都东	达州	13:28	-
城际动车	终C5748	成都东	达州	13:49	-
城际动车	始C5747	达州	成都东	-	13:49
城际动车	终C5750	成都东	达州	13:58	-
直达特快	过Z95	北京西	重庆西	13:54	14:02
城际动车	始C5751	达州	成都东	-	14:10
直达特快	过Z96	重庆西	北京西	14:08	14:16
城际动车	始C5749	达州	成都东	-	14:22
快速	始K1174	达州	惠州	-	14:28
城际动车	过C5781	巴中	成都东	14:20	14:41
快速	过K1258	成都东	温州	14:40	14:48
快速	过K691	呼和浩特	昆明	14:46	14:56
快速	过K16	重庆西	济南	14:53	15:03
普客	终6065	安康	达州	15:09	-
快速	过K1095	巴中	广州	15:02	15:12
动车组	终D5184	成都东	达州	15:12	-
动车组	始D5185	达州	成都东	-	15:35
快速	过K690	重庆西	太原	15:30	15:38
快速	终K814	广州	达州	16:14	-
动车组	终D5186	成都东	达州	16:27	-
普客	始6066	达州	安康	-	16:27
城际动车	终C5752	成都东	达州	16:55	-
快速	过K424	成都	宁波	16:49	17:00
快速	始K813	达州	广州	-	17:14
特快	过T248	成都东	武昌	17:20	17:28
动车组	始D5187	达州	成都东	-	17:30
直达特快	过Z332	深圳东	成都东	17:46	17:53
城际动车	始C5757	达州	营山	-	18:00
快速	过K386	成都	沈阳北	17:55	18:13
快速	过K1574	重庆西	吉林	18:02	18:19
城际动车	终C5754	成都东	达州	18:35	-
普快	过5616	南充	巴中	18:10	18:42
城际动车	始C5753	达州	成都东	-	18:57
快速	过K806	重庆西	福州	18:49	19:00
动车组	终D5188	成都东	达州	19:27	-
城际动车	终C5756	成都东	达州	19:43	-
动车组	始D5189	达州	成都东	-	19:50
直达特快	过Z122	广州	成都	19:54	20:02
城际动车	始C5755	达州	成都东	-	20:10
直达特快	过Z124	成都	广州	20:13	20:19
快速	过K1270	重庆西	福州	20:55	21:09
快速	过K788	成都东	南昌	21:05	21:24
城际动车	终C5758	成都东	达州	21:50	-
