列车类型	车次	始发站	终到站	到站时间	发车时间
快速	终K1624	武昌	连云港东	6:08	-
快速	始K8418	连云港东	合肥	-	6:10
快速	始K8414	连云港东	合肥	-	6:25
普快	终1551	太原	连云港东	7:12	-
快速	终K612	南昌	连云港东	7:21	-
快速	终K8356	上海	连云港东	8:04	-
普快	始1552	连云港东	太原	-	8:27
快速	始K8380	连云港东	徐州	-	8:46
快速	终K8399	徐州	连云港东	9:40	-
普快	终1148	宝鸡	连云港东	9:51	-
快速	终K8352	杭州	连云港东	9:59	-
快速	始K304	连云港东	广州	-	11:17
普快	始1150	连云港东	宝鸡	-	16:15
快速	始K8354	连云港东	杭州	-	16:25
快速	始K1626	连云港东	武昌	-	16:36
快速	终K8373	徐州	连云港东	16:55	-
快速	始K614	连云港东	南昌	-	17:38
快速	始K1614	连云港东	北京	-	17:56
快速	终K8379	徐州	连云港东	18:19	-
快速	终K8412	芜湖	连云港东	18:35	-
快速	始K8358	连云港东	上海	-	19:30
快速	终K8395	徐州	连云港东	20:36	-
快速	终K1352	乌鲁木齐	连云港东	22:41	-
