列车类型	车次	始发站	终到站	到站时间	发车时间
直达特快	过Z1	北京西	长沙	23:56	0:02
直达特快	过Z95	北京西	重庆西	0:02	0:08
快速	过K2046	西安	沈阳北	23:58	0:18
快速	过K1026	青岛北	兰州	0:15	0:27
快速	过K559	延安	上海	0:12	0:27
快速	过K183	北京	南阳	0:20	0:37
普快	过1150	连云港东	宝鸡	0:24	0:44
快速	过K2665	临汾	苏州	0:25	0:47
直达特快	过Z202	三亚	北京西	0:41	0:47
直达特快	过Z162	昆明	北京西	0:47	0:53
快速	过K234	上海	石家庄	0:45	1:14
直达特快	过Z272	青岛	西宁	1:09	1:16
快速	过K184	南阳	北京	1:17	1:34
直达特快	过Z138	广州	乌鲁木齐	1:28	1:35
直达特快	过Z106	乌鲁木齐	济南	1:29	1:37
直达特快	过Z252	上海	西安	1:37	1:44
快速	过K606	杭州	西安	1:16	1:50
直达特快	过Z170	青岛北	广州东	1:31	1:51
快速	过K420	兰州	扬州	1:43	1:55
直达特快	过Z2	长沙	北京西	1:52	1:58
特快	过T116	上海	兰州	1:45	2:02
快速	过K974	襄阳	哈尔滨西	1:39	2:05
直达特快	过Z40	上海	乌鲁木齐	2:03	2:11
普快	过1148	宝鸡	连云港东	1:53	2:14
直达特快	过Z338	包头	南宁	2:28	2:34
快速	过K914	青岛	西安	2:24	2:35
快速	过K268	怀化	北京西	2:11	2:36
快速	过K261	北京西	汉中	2:08	2:46
快速	过K594	杭州	乌鲁木齐	2:17	2:48
快速	过K157	北京	湛江	2:19	2:52
快速	过K2906	温州	西安	2:30	2:54
直达特快	过Z166	拉萨	上海	2:50	2:58
特快	过T147	南昌	北京	2:59	3:06
直达特快	过Z42	乌鲁木齐	上海	2:57	3:06
直达特快	过Z285	北京西	南宁	3:05	3:11
特快	过T118	兰州	上海	3:03	3:15
快速	过K1102	上海	安阳	3:00	3:17
直达特快	过Z216	上海	兰州	3:19	3:26
直达特快	过Z264	广州	拉萨	3:40	3:46
直达特快	过Z254	西安	上海	3:38	3:47
直达特快	过Z6	南宁	北京西	3:46	3:52
直达特快	过Z50	成都	北京西	3:52	3:58
直达特快	过Z266	拉萨	广州	3:58	4:04
直达特快	过Z96	重庆西	北京西	4:05	4:11
直达特快	过Z336	南宁	包头	4:11	4:17
快速	过K257	天津	成都	4:02	4:21
快速	过K401	北京西	周口	4:19	4:25
特快	过T10	重庆西	北京西	4:09	4:28
快速	过K560	上海	延安	4:11	4:33
快速	过K419	扬州	兰州	4:17	4:39
快速	过K2276	杭州	新乡	4:23	4:47
直达特快	过Z136	乌鲁木齐	广州	4:39	4:47
快速	过K596	乌鲁木齐	杭州	4:26	4:48
直达特快	过Z105	济南	乌鲁木齐	4:45	4:52
特快	过T289	北京西	南宁	4:51	4:57
快速	过K738	上海	洛阳	4:36	5:00
直达特快	过Z53	北京西	昆明	5:04	5:10
直达特快	过Z164	上海	拉萨	5:08	5:14
快速	过K2908	西安	温州	4:52	5:17
特快	过T168	南昌	北京西	5:15	5:33
直达特快	过Z218	兰州	上海	5:24	5:33
快速	过K126	咸阳	长春	5:14	5:41
快速	过K2666	苏州	临汾	5:22	5:45
普快	终2152	日照	郑州	5:48	-
直达特快	过Z294	乌鲁木齐	汉口	5:31	5:50
快速	过K1348	深圳	西安	5:31	5:51
直达特快	过Z90	广州	石家庄	5:51	5:57
特快	终T326	宁波	郑州	6:00	-
直达特快	过Z306	伊宁	上海	5:55	6:02
特快	过T114	兰州	杭州	6:01	6:08
快速	过K208	青岛	成都	5:48	6:14
城际动车	始C2902	郑州	焦作	-	6:20
特快	过T50	宜昌东	北京西	6:16	6:32
快速	过K262	汉中	北京西	6:10	6:38
直达特快	过Z304	上海	伊宁	6:37	6:43
快速	过K16	重庆西	济南	6:18	6:48
快速	过K62	南通	西安	6:24	6:49
快速	过K132	兰州	深圳西	6:30	6:54
快速	终K179	北京西	郑州	7:00	-
特快	终T198	乌鲁木齐	郑州	7:05	-
城际动车	始C2922	郑州	焦作	-	7:10
快速	过K332	天津	洛阳	6:50	7:19
快速	终K152	上海	郑州	7:27	-
特快	过T370	广州	大连	7:05	7:28
高速动车	始G370	郑州	上海虹桥	-	7:33
快速	过K2048	沈阳北	西安	7:00	7:38
高速动车	始G802	郑州	北京西	-	7:39
高速动车	始G2001	郑州	西安北	-	7:48
直达特快	过Z36	广州	北京西	7:47	7:53
快速	终K1598	烟台	郑州	8:02	-
普快	始1304	郑州	北京西	-	8:10
直达特快	终Z190	广州	郑州	8:12	-
快速	终K178	西宁	郑州	8:18	-
快速	过K386	成都	沈阳北	8:08	8:23
高速动车	过G850	洛阳龙门	广州南	8:34	8:38
快速	过K1130	烟台	宝鸡	8:36	8:48
高速动车	过G870	西安北	温州南	8:54	8:57
城际动车	始C2841	郑州	新郑机场	-	9:05
直达特快	过Z14	广州东	沈阳北	8:48	9:10
高速动车	过G2298	西安北	厦门北	9:07	9:12
城际动车	始C2962	郑州	焦作	-	9:16
普快	终1303	北京西	郑州	9:20	-
高速动车	过G2390	西安北	杭州东	9:25	9:29
快速	过K282	上海	成都	9:13	9:36
城际动车	过C2876	新郑机场	焦作	9:35	9:38
城际动车	过C2877	焦作	新郑机场	9:40	9:43
城际动车	过C2993	郑州东	焦作	9:41	9:44
直达特快	过Z98	广州东	北京西	9:37	9:44
快速	始K7968	郑州	濮阳	-	9:50
直达特快	过Z286	南宁	北京西	10:59	11:05
直达特快	过Z54	昆明	北京西	11:07	11:14
特快	过T290	南宁	北京西	11:16	11:22
特快	过T124	广州	长春	10:52	11:28
快速	终K7959	安阳	郑州	11:36	-
特快	过T369	大连	广州	11:23	11:44
城际动车	终C2903	焦作	郑州	11:46	-
快速	过K600	广州	包头	11:30	11:49
高速动车	过G98	西安北	广州南	11:47	11:50
城际动车	终C2921	焦作	郑州	12:00	-
城际动车	始C2906	郑州	焦作	-	12:02
高速动车	过G820	西安北	深圳北	11:59	12:02
高速动车	过G856	武汉	西安北	12:01	12:04
快速	始K7960	郑州	安阳	-	12:16
城际动车	终C2805	宋城路	郑州	12:18	-
城际动车	始C2924	郑州	焦作	-	12:24
高速动车	过G640	南昌西	兰州西	12:24	12:27
特快	过T254	广州	天津	12:24	12:31
城际动车	过C2900	新郑机场	焦作	12:34	12:37
快速	终K1238	温州	郑州	12:41	-
快速	始K742	郑州	厦门北	-	12:45
城际动车	始C2806	郑州	宋城路	-	12:51
城际动车	终C2963	焦作	郑州	12:51	-
直达特快	过Z236	广州东	哈尔滨西	12:36	12:54
城际动车	始C2966	郑州	焦作	-	13:08
快速	始K8002	郑州	商丘	-	13:08
快速	过K388	沈阳北	成都	12:45	13:13
高速动车	过G824	西安北	深圳北	13:12	13:15
快速	过K128	长春	咸阳	12:50	13:20
快速	过K818	成都	北京西	13:04	13:21
高速动车	过G1821	焦作	上海虹桥	13:24	13:28
城际动车	终C2905	焦作	郑州	13:31	-
直达特快	终Z148	深圳东	郑州	13:31	-
高速动车	始G806	郑州	北京西	-	13:40
快速	过K134	深圳西	兰州	13:06	13:40
快速	过K508	贵阳	北京西	13:19	13:43
高速动车	过G834	兰州西	广州南	13:41	13:50
城际动车	始C2908	郑州	焦作	-	13:51
高速动车	过G832	广州南	西安北	13:44	13:55
快速	终K928	海拉尔	郑州	13:56	-
快速	终K7993	新乡	郑州	14:00	-
高速动车	过G642	兰州西	南昌西	14:01	14:05
快速	始K7994	郑州	新乡	-	14:05
高速动车	过G549	焦作	深圳北	14:08	14:11
快速	过K598	包头	广州	13:53	14:15
城际动车	终C2923	焦作	郑州	14:17	-
快速	过K22	南宁	北京西	14:03	14:17
快速	过K1352	乌鲁木齐	连云港东	14:15	14:24
快速	过K1538	乌鲁木齐	南京	14:15	14:24
快速	始K1240	郑州	温州	-	14:30
城际动车	终C2965	焦作	郑州	14:31	-
城际动车	始C2926	郑州	焦作	-	14:32
快速	始K716	郑州	大连	-	14:36
高速动车	过G96	广州南	兰州西	14:33	14:39
直达特快	过Z149	北京西	贵阳	14:37	14:43
高速动车	过G838	西安北	广州南	14:44	14:47
城际动车	始C2968	郑州	焦作	-	14:48
快速	过K228	兰州	广州	14:35	14:50
高速动车	过G828	西安北	深圳北	15:01	15:04
快速	终K176	乌鲁木齐	郑州	15:12	-
城际动车	终C2907	焦作	郑州	15:20	-
快速	始K177	郑州	西宁	-	15:30
快速	始K926	郑州	海拉尔	-	15:30
直达特快	过Z150	贵阳	北京西	15:27	15:35
高速动车	过G842	西安北	深圳北	15:33	15:36
城际动车	始C2910	郑州	焦作	-	15:41
快速	过K30	福州	洛阳	15:20	15:43
快速	过K32	洛阳	福州	15:21	15:44
快速	过K258	成都	天津	15:27	15:47
直达特快	过Z238	哈尔滨西	广州东	15:39	15:58
城际动车	过C2884	新郑机场	焦作	15:54	16:00
高速动车	过G846	兰州西	广州南	16:09	16:17
快速	过K507	北京西	贵阳	15:57	16:18
城际动车	过C2885	焦作	新郑机场	16:20	16:23
快速	过K15	济南	重庆西	16:06	16:28
普快	过1552	连云港东	太原	16:24	16:34
直达特快	始Z189	郑州	广州	-	16:40
直达特快	过Z168	广州东	青岛北	16:23	16:43
快速	过K226	广州	兰州	16:36	16:46
快速	过K1144	洛阳	启东	16:20	16:49
快速	始K1596	郑州	烟台	-	16:56
城际动车	终C2967	焦作	郑州	16:58	-
高速动车	过G818	深圳北	西安北	16:55	17:00
特快	过T122	长春	广州	16:44	17:04
高速动车	过G2389	杭州东	西安北	17:02	17:06
直达特快	过Z274	西宁	青岛	17:00	17:10
城际动车	始C2970	郑州	焦作	-	17:18
高速动车	过G822	深圳北	西安北	17:14	17:18
高速动车	过G858	西安北	武汉	17:22	17:26
快速	过K817	北京西	成都	17:16	17:32
直达特快	过Z378	西宁	上海	17:10	17:32
快速	终K744	厦门北	郑州	17:33	-
直达特快	过Z49	北京西	成都	17:30	17:36
城际动车	终C2909	焦作	郑州	17:42	-
直达特快	过Z35	北京西	广州	17:36	17:42
快速	过K292	成都	上海	17:28	17:50
高速动车	过G9103	郑州东	三门峡南	17:52	17:55
快速	过K359	银川	上海	17:45	17:57
快速	过K21	北京西	南宁	17:51	18:02
高速动车	过G836	广州南	西安北	18:00	18:03
快速	始K154	郑州	上海	-	18:03
城际动车	始C2912	郑州	焦作	-	18:05
直达特快	过Z161	北京西	昆明	18:03	18:10
高速动车	过G1810	上海虹桥	焦作	18:08	18:11
快速	过K1028	兰州	青岛北	18:05	18:14
快速	过K1064	重庆	哈尔滨西	17:52	18:23
城际动车	终C2925	焦作	郑州	18:28	-
直达特快	过Z97	北京西	广州东	18:25	18:31
城际动车	终C2809	宋城路	郑州	18:35	-
特快	始T328	郑州	宁波	-	18:37
快速	过K233	石家庄	上海	18:35	18:44
城际动车	始C2810	郑州	宋城路	-	18:58
快速	始K457	郑州	海口	-	19:00
快速	过K206	成都	青岛	18:42	19:04
快速	过K330	洛阳	天津	18:50	19:10
快速	过K284	成都	上海	18:56	19:16
高速动车	过G844	广州南	兰州西	19:13	19:21
快速	过K1149	新乡	昆山	19:03	19:22
高速动车	过G868	温州南	西安北	19:23	19:32
快速	过K1101	安阳	上海	19:15	19:34
高速动车	过G2296	厦门北	西安北	19:44	19:50
快速	过K246	成都	扬州	19:34	19:51
快速	终K7966	濮阳	郑州	19:54	-
快速	过K1278	包头	南昌	19:47	19:55
快速	过K912	西安	青岛	19:40	19:59
快速	过K175	商丘	乌鲁木齐	19:38	20:02
特快	过T145	北京	南昌	20:02	20:10
快速	过K1062	哈尔滨西	重庆	19:50	20:13
直达特快	始Z146	郑州	深圳东	-	20:13
城际动车	终C2911	焦作	郑州	20:20	-
快速	过K1132	宝鸡	烟台	20:11	20:21
高速动车	过G826	深圳北	西安北	20:24	20:27
直达特快	过Z89	石家庄	广州	20:27	20:33
高速动车	过G840	深圳北	西安北	20:30	20:34
城际动车	始C2914	郑州	焦作	-	20:35
城际动车	终C2969	焦作	郑州	20:35	-
快速	过K976	哈尔滨西	襄阳	20:08	20:40
直达特快	过Z376	上海	西宁	20:18	20:40
特快	始T197	郑州	乌鲁木齐	-	20:54
城际动车	过C2991	焦作	郑州东	21:05	21:08
普快	始2150	郑州	日照	-	21:10
快速	过K117	北京西	成都	20:48	21:10
快速	过K118	成都	北京西	21:00	21:19
快速	过K608	西安	杭州	20:50	21:22
