列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K1032	西安	贵阳	5:07	5:42
高速动车	始G8588	重庆西	成都东	-	6:20
快速	终K1572	吉林	重庆西	6:27	-
高速动车	始G8622	重庆西	内江北	-	6:36
直达特快	终Z224	拉萨	重庆西	6:42	-
高速动车	始G8594	重庆西	成都东	-	6:50
特快	始T238	重庆西	昆山	-	7:02
动车组	始D3563	重庆西	北海	-	7:02
高速动车	始G2232	重庆西	西安北	-	7:05
高速动车	始G8624	重庆西	永川东	-	7:10
动车组	始D1861	重庆西	广州南	-	7:19
动车组	始D6141	重庆西	重庆北	-	7:20
高速动车	始G2841	重庆西	大理	-	7:36
动车组	始D1953	重庆西	太原南	-	7:50
高速动车	始G1836	重庆西	青岛	-	7:55
高速动车	始G2871	重庆西	昆明南	-	8:00
动车组	始D6187	重庆西	万州北	-	8:10
高速动车	始G319	重庆西	深圳北	-	8:20
动车组	终D6142	重庆北	重庆西	8:28	-
高速动车	过G2371	成都东	厦门北	8:31	8:35
动车组	始D1965	重庆西	西安北	-	8:38
高速动车	始G574	重庆西	北京西	-	8:43
高速动车	始G1335	重庆西	上海虹桥	-	8:48
快速	过K1502	昆明	乌鲁木齐	8:24	9:03
高速动车	始G2873	重庆西	昆明南	-	9:05
高速动车	过G1755	成都东	福州南	9:02	9:10
高速动车	始G1976	重庆西	上海虹桥	-	9:12
动车组	过D1781	成都东	南宁东	9:09	9:15
快速	过K142	南宁	成都	8:54	9:24
快速	过K507	北京西	贵阳	8:44	9:32
高速动车	始G2680	重庆西	盐城	-	9:32
动车组	终D6175	万州北	重庆西	9:37	-
快速	过K872	湛江	成都东	9:18	9:39
快速	始K1154	重庆西	杭州	-	9:47
动车组	过D1779	绵阳	北海	9:34	9:47
高速动车	始G1888	重庆西	南京南	-	9:52
城际动车	过C6017	成都东	成都东	9:47	9:53
动车组	终D6152	重庆北	重庆西	9:58	-
高速动车	过G1983	成都东	苍南	9:53	9:59
特快	始T10	重庆西	北京西	-	10:01
动车组	始D1867	重庆西	广州南	-	10:05
动车组	过D1960	贵阳北	太原南	10:02	10:08
动车组	过D1812	成都东	广州南	10:05	10:10
动车组	终D8556	贵阳北	重庆西	10:15	-
高速动车	过G2883	成都东	昆明南	10:08	10:16
高速动车	始G1832	重庆西	济南西	-	10:19
高速动车	始G2875	重庆西	昆明南	-	10:21
快速	过K692	昆明	呼和浩特	9:42	10:24
动车组	始D6151	重庆西	重庆北	-	10:26
城际动车	始C6014	重庆西	重庆西	-	10:31
动车组	过D1702	贵阳北	西安北	10:32	10:38
高速动车	始G1710	重庆西	天津西	-	10:49
快速	终K15	济南	重庆西	10:58	-
快速	过K1504	乌鲁木齐	昆明	10:21	11:00
高速动车	始G2216	重庆西	郑州东	-	11:07
动车组	过D808	贵阳北	兰州	11:11	11:19
高速动车	过G8653	江油	贵阳北	11:13	11:21
快速	终K689	太原	重庆西	11:25	-
高速动车	过G2885	成都东	昆明南	11:25	11:29
高速动车	始G1339	重庆西	上海虹桥	-	11:36
高速动车	始G2206	重庆西	徐州东	-	11:38
动车组	终D6154	重庆北	重庆西	11:42	-
高速动车	过G8656	贵阳北	成都东	11:41	11:45
直达特快	始Z96	重庆西	北京西	-	11:48
动车组	始D6153	重庆西	重庆北	-	12:06
快速	始K16	重庆西	济南	-	12:08
高速动车	过G8670	贵阳北	贵阳北	11:55	12:10
动车组	过D1820	成都东	广州南	12:19	12:23
快速	始K690	重庆西	太原	-	12:35
动车组	始D1961	重庆西	太原南	-	12:35
高速动车	始G8596	重庆西	成都东	-	12:40
高速动车	过G2886	昆明南	成都东	12:48	12:53
快速	终K1268	福州	重庆西	12:55	-
城际动车	过C6012	贵阳北	贵阳北	13:03	13:07
动车组	终D6156	重庆北	重庆西	13:11	-
高速动车	终G2872	昆明南	重庆西	13:13	-
动车组	始D6155	重庆西	重庆北	-	13:26
动车组	过D1701	西安北	贵阳北	13:25	13:30
高速动车	始G2849	重庆西	大理	-	13:37
高速动车	过G2855	西安北	南宁东	13:37	13:43
快速	终K804	福州	重庆西	13:47	-
高速动车	过G2161	长沙南	成都东	13:48	13:52
高速动车	过G4114	柳州	太原南	13:54	13:59
特快	终T236	昆山	重庆西	14:09	-
动车组	终D1862	广州南	重庆西	14:20	-
动车组	过D1881	万州北	广州南	14:21	14:25
动车组	终D6158	重庆北	重庆西	14:38	-
高速动车	终G1759	南昌西	重庆西	14:45	-
动车组	始D1875	重庆西	广州南	-	14:48
高速动车	终G2868	昆明南	重庆西	14:50	-
快速	始K1574	重庆西	吉林	-	14:52
动车组	始D6157	重庆西	重庆北	-	14:54
高速动车	始G1761	重庆西	南昌西	-	15:05
动车组	过D1849	广州	广元	15:06	15:10
高速动车	始G2867	重庆西	昆明南	-	15:12
高速动车	过G2853	西安北	昆明南	15:03	15:19
高速动车	终G2874	昆明南	重庆西	15:20	-
快速	终K1152	杭州	重庆西	15:27	-
动车组	过D1851	广元	广州	15:25	15:30
高速动车	过G8657	成都东	贵阳北	15:37	15:41
快速	终K356	广州	重庆西	15:43	-
动车组	过D1782	南宁东	成都东	15:32	15:43
城际动车	终C6032	六盘水	重庆西	15:43	-
动车组	终D1864	广州南	重庆西	15:49	-
快速	始K806	重庆西	福州	-	15:52
高速动车	始G2879	重庆西	昆明南	-	15:52
动车组	终D6160	重庆北	重庆西	15:58	-
高速动车	过G2856	南宁东	西安北	16:00	16:06
动车组	始D1877	重庆西	广州南	-	16:10
特快	终T9	北京西	重庆西	16:12	-
动车组	始D6159	重庆西	重庆北	-	16:13
城际动车	始C6033	重庆西	六盘水	-	16:15
高速动车	过G8660	贵阳北	成都东	16:12	16:18
动车组	过D1833	成都东	广州南	16:10	16:23
