列车类型	车次	始发站	终到站	到站时间	发车时间
普快	过2635	呼和浩特	兰州西	0:50	0:58
快速	过K43	敦煌	北京	0:46	1:02
直达特快	过Z311	呼和浩特	西宁	1:58	2:09
直达特快	过Z312	西宁	呼和浩特	4:52	5:07
快速	过K196	成都	呼和浩特东	5:26	5:40
快速	过K195	呼和浩特东	成都	6:03	6:11
普客	始7511	银川	长庆桥	-	6:41
直达特快	终Z277	北京西	银川	6:56	-
快速	始K321	银川	西安	-	7:00
城际动车	始C8201	银川	中卫南	-	7:00
快速	终K816	西宁	银川	7:10	-
普客	始7531	银川	中卫	-	7:20
普客	始7524	银川	汝箕沟	-	7:25
快速	始K9881	银川	陇南	-	7:30
城际动车	始C9879	银川	中卫南	-	7:30
快速	终K1085	西安	银川	7:47	-
城际动车	终C8212	中卫南	银川	8:25	-
特快	过T304	乌鲁木齐	长春	8:19	8:27
城际动车	始C8211	银川	中卫南	-	8:40
快速	终K1485	太原	银川	8:45	-
快速	终K1305	西安	银川	9:17	-
快速	终K1286	青岛北	银川	9:50	-
城际动车	终C8202	中卫南	银川	9:53	-
城际动车	始C8203	银川	中卫南	-	10:08
快速	终K1296	广州	银川	10:25	-
城际动车	终C9882	中卫南	银川	10:25	-
城际动车	始C9883	银川	中卫南	-	10:40
城际动车	终C8214	中卫南	银川	11:51	-
快速	始K1615	银川	成都	-	11:58
城际动车	始C8213	银川	中卫南	-	12:06
快速	始K1331	银川	上海	-	12:20
城际动车	终C8204	中卫南	银川	13:01	-
城际动车	始C8205	银川	中卫南	-	13:16
城际动车	终C9884	中卫南	银川	13:55	-
直达特快	过Z179	北京西	乌鲁木齐	13:56	14:06
城际动车	始C9885	银川	中卫南	-	14:12
快速	过K41	北京	敦煌	14:59	15:14
城际动车	终C8216	中卫南	银川	15:23	-
城际动车	始C8215	银川	中卫南	-	15:38
城际动车	终C8206	中卫南	银川	16:09	-
城际动车	始C8207	银川	中卫南	-	16:24
直达特快	过Z180	乌鲁木齐	北京西	16:37	16:47
快速	过K886	兰州西	天津	16:47	16:56
快速	始K1307	银川	西安	-	16:56
城际动车	终C9886	中卫南	银川	17:18	-
城际动车	始C9887	银川	中卫南	-	17:33
快速	始K1805	银川	杭州	-	17:34
普客	终7526	汝箕沟	银川	17:49	-
快速	始K1087	银川	西安	-	18:00
快速	始K1285	银川	青岛北	-	18:28
城际动车	终C8218	中卫南	银川	18:36	-
快速	过K888	天津	兰州西	18:39	18:47
城际动车	始C8217	银川	中卫南	-	18:51
城际动车	终C8208	中卫南	银川	19:17	-
快速	终K360	上海	银川	19:31	-
城际动车	始C8209	银川	中卫南	-	19:32
特快	过T302	长春	乌鲁木齐	20:17	20:26
快速	始K359	银川	上海	-	20:34
城际动车	终C9888	中卫南	银川	20:44	-
直达特快	始Z275	银川	北京西	-	20:52
城际动车	始C9889	银川	中卫南	-	20:59
快速	终K9883	陇南	银川	21:00	-
普快	过2636	兰州西	呼和浩特	20:44	21:05
快速	终K1616	成都	银川	21:18	-
快速	始K1295	银川	广州	-	21:28
普客	终7513	长庆桥	银川	21:42	-
城际动车	终C8220	中卫南	银川	21:43	-
快速	终K1806	杭州	银川	21:55	-
城际动车	始C8219	银川	中卫南	-	22:02
快速	终K322	西安	银川	22:15	-
城际动车	终C8210	中卫南	银川	22:37	-
快速	始K815	银川	西宁	-	22:40
普客	终7532	中卫	银川	23:14	-
城际动车	终C9890	中卫南	银川	23:46	-
快速	终K1332	上海	银川	23:58	-
