列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K728	哈尔滨西	昆明	6:26	6:35
直达特快	过Z386	三亚	长春	7:08	7:14
直达特快	过Z366	南京	哈尔滨西	7:37	7:39
直达特快	过Z104	厦门北	长春	7:48	7:50
直达特快	过Z192	太原	沈阳北	8:01	8:11
高速动车	过G1284	沈阳北	成都东	8:23	8:24
动车组	过D8075	山海关	沈阳	8:29	8:30
动车组	过D12	沈阳南	北京	8:31	8:33
快速	过K1450	日照	牡丹江	8:23	8:36
直达特快	过Z12	沈阳北	广州东	8:16	8:40
高速动车	过G2652	沈阳北	荣成	8:47	8:49
特快	过T242	合肥	齐齐哈尔	8:52	9:02
高速动车	过G1272	沈阳南	福州	8:56	9:03
动车组	过D4	沈阳南	北京	9:12	9:14
高速动车	过G1222	沈阳北	宁波	9:21	9:30
动车组	过D14	沈阳北	北京	9:40	9:42
高速动车	过G398	丹东	北京南	9:57	9:58
动车组	过D29	北京	齐齐哈尔南	10:13	10:15
高速动车	过G2625	大连北	武汉	10:26	10:28
动车组	过D21	北京	珲春	10:27	10:29
动车组	过D2	沈阳南	北京	10:35	10:36
高速动车	过G1251	大连北	上海虹桥	10:50	10:51
高速动车	过G381	北京南	哈尔滨西	11:06	11:08
高速动车	过G383	北京南	吉林	11:20	11:22
动车组	过D31	大连北	北京	11:23	11:25
高速动车	过G387	北京南	大连北	11:31	11:32
高速动车	过G2630	沈阳	盐城	11:57	12:04
高速动车	过G1206	哈尔滨西	青岛北	12:11	12:12
高速动车	过G1202	哈尔滨西	上海虹桥	12:19	12:20
直达特快	过Z172	上海	哈尔滨西	12:13	12:22
高速动车	过G1293	大连北	西安北	12:27	12:28
高速动车	过G395	北京南	丹东	12:33	12:34
高速动车	过G391	临沂北	大连北	12:41	12:42
高速动车	过G1276	哈尔滨西	武汉	12:48	12:49
高速动车	过G1286	郑州东	沈阳北	12:57	12:59
高速动车	过G1268	青岛北	延吉西	13:12	13:13
高速动车	过G1208	青岛北	哈尔滨西	13:20	13:21
高速动车	过G1234	吉林	上海虹桥	13:31	13:33
动车组	过D41	北京	大连北	13:34	13:35
动车组	过D6	沈阳北	北京	13:43	13:45
高速动车	过G2602	太原南	沈阳北	13:52	13:53
动车组	过D26	佳木斯	北京	13:52	13:59
动车组	过D25	北京	佳木斯	14:10	14:11
高速动车	过G393	北京南	牡丹江	14:36	14:37
动车组	过D102	哈尔滨西	北京	14:51	14:52
高速动车	过G1262	哈尔滨西	郑州东	15:05	15:06
高速动车	过G1264	郑州东	哈尔滨西	15:27	15:29
高速动车	过G1238	佳木斯	石家庄	15:48	15:50
高速动车	过G1288	沈阳北	郑州东	16:07	16:08
动车组	过D11	北京	沈阳南	16:19	16:20
高速动车	过G394	牡丹江	北京南	16:22	16:23
高速动车	过G1232	上海虹桥	丹东	16:27	16:28
动车组	过D18	沈阳南	北京	16:30	16:31
高速动车	过G2626	武汉	大连北	16:36	16:37
动车组	过D9	北京	沈阳南	16:52	16:53
高速动车	过G1224	宁波	沈阳北	17:02	17:03
动车组	过D49	北京	通辽	17:10	17:23
动车组	过D43	大连北	北京	17:29	17:31
动车组	过D101	北京	哈尔滨西	17:38	17:39
高速动车	过G1274	福州	沈阳南	17:46	17:47
直达特快	过Z114	哈尔滨西	海口	17:45	17:48
动车组	过D73	北京	吉林	18:01	18:02
高速动车	过G1204	上海虹桥	哈尔滨西	18:07	18:08
高速动车	过G1290	长沙南	长春西	18:15	18:16
高速动车	过G2632	盐城	沈阳	18:23	18:24
高速动车	过G2654	荣成	沈阳北	18:29	18:30
高速动车	过G1242	沈阳北	济南西	18:33	18:35
动车组	过D30	齐齐哈尔南	北京	18:43	18:45
高速动车	过G1258	上海虹桥	长春西	19:20	19:21
直达特快	过Z194	沈阳北	太原	19:29	19:31
动车组	过D37	北京	大连北	19:44	19:45
高速动车	过G384	吉林	北京南	19:48	19:50
直达特快	过Z368	哈尔滨西	南京	19:40	20:10
高速动车	过G1228	苍南	沈阳北	20:11	20:12
高速动车	过G1294	西安北	大连北	20:19	20:21
动车组	过D8076	沈阳	山海关	20:28	20:30
直达特快	过Z102	长春	厦门北	20:38	20:40
直达特快	过Z14	广州东	沈阳北	20:42	20:44
高速动车	过G374	哈尔滨西	天津西	20:58	21:00
动车组	过D51	北京	沈阳北	21:10	21:12
直达特快	过Z384	长春	三亚	21:18	21:24
高速动车	过G1282	成都东	沈阳北	21:40	21:41
动车组	过D3	北京	沈阳南	21:57	21:58
动车组	过D13	北京	沈阳北	22:27	22:29
