列车类型	车次	始发站	终到站	到站时间	发车时间
特快	过T298	牡丹江	北京	23:59	0:06
快速	过K339	北京	佳木斯	0:28	0:36
快速	过K2210	黑河	大连	0:40	0:48
快速	过K568	齐齐哈尔	东莞东	0:47	0:55
快速	过K728	哈尔滨西	昆明	0:54	1:02
直达特快	过Z178	哈尔滨西	杭州	1:04	1:12
快速	过K929	大连	佳木斯	1:34	1:48
快速	过K890	佳木斯	盘锦	1:41	1:51
快速	过K570	东莞东	齐齐哈尔	3:28	3:36
快速	过K974	襄阳	哈尔滨西	3:35	3:43
快速	过K7305	大连	乌兰浩特	4:21	4:38
快速	过K1452	牡丹江	日照	4:50	5:00
快速	过K552	温州	牡丹江	4:43	5:01
快速	终K2386	南宁	长春	5:04	-
快速	过K1394	佳木斯	烟台	5:08	5:16
快速	过K383	北京	齐齐哈尔	5:11	5:35
城际动车	始C1001	长春	延吉西	-	5:38
城际动车	始C1531	长春	松原	-	5:41
直达特快	过Z117	北京	吉林	5:17	5:42
快速	过K349	北京	佳木斯	5:41	5:49
高速动车	始G8104	长春	丹东	-	5:52
快速	过K546	成都	哈尔滨	5:48	5:56
快速	过K1526	邯郸	哈尔滨	5:55	6:03
高速动车	始G8002	长春	大连北	-	6:05
快速	终K2286	昆明	长春	6:11	-
城际动车	始C1501	长春	白城	-	6:18
城际动车	始C1003	长春	珲春	-	6:21
直达特快	终Z61	北京	长春	6:35	-
直达特快	始Z5011	长春	榆树	-	6:41
快速	终K126	咸阳	长春	6:43	-
城际动车	过C1005	长春西	延吉西	6:40	6:43
特快	终T124	广州	长春	6:49	-
高速动车	过G8004	吉林	大连	6:50	6:53
城际动车	始C1007	长春	延吉西	-	6:54
普快	始4305	长春	舒兰	-	6:55
城际动车	始C1503	长春	乌兰浩特	-	7:05
城际动车	过C1203	长春西	吉林	7:03	7:07
高速动车	终G8092	扶余北	长春	7:08	-
城际动车	终C1202	吉林	长春	7:16	-
城际动车	始C1505	长春	白城	-	7:18
城际动车	始C1243	长春	吉林	-	7:22
高速动车	始G8006	长春	大连北	-	7:28
动车组	始D119	长春	牡丹江	-	7:33
普客	终6335	公主岭	长春	7:33	-
城际动车	始C1205	长春	蛟河西	-	7:38
城际动车	过C1009	长春西	珲春	7:40	7:48
动车组	过D132	哈尔滨西	吉林	7:58	8:03
动车组	过D126	吉林	哈尔滨西	8:15	8:18
城际动车	终C1522	松原	长春	8:30	-
城际动车	终C1002	延吉西	长春	8:30	-
城际动车	终C1240	蛟河西	长春	8:36	-
高速动车	过G8033	沈阳北	吉林	8:38	8:41
高速动车	过G238	吉林	北京南	8:42	8:45
城际动车	始C1541	长春	松原	-	8:57
城际动车	始C1011	长春	延吉西	-	9:00
城际动车	终C1532	松原	长春	9:06	-
城际动车	终C1206	吉林	长春	9:08	-
城际动车	始C1241	长春	吉林	-	9:17
城际动车	始C1545	长春	松原	-	9:26
快速	终K7572	梅河口	长春	9:29	-
城际动车	始C1013	长春	珲春	-	9:30
高速动车	过G8008	吉林	大连北	9:28	9:34
城际动车	过C1249	长春西	吉林	9:34	9:37
城际动车	终C1502	白城	长春	9:38	-
快速	终K336	宁波	长春	9:43	-
城际动车	过C1045	长春西	延吉西	9:40	9:44
高速动车	过G8128	珲春	大连	9:42	9:48
城际动车	始C1209	长春	吉林	-	9:52
动车组	过D138	吉林	牡丹江	9:49	9:53
高速动车	终G8001	大连北	长春	10:01	-
高速动车	过G1266	延吉西	青岛北	10:13	10:16
特快	过T184	哈尔滨	汉口	10:12	10:20
城际动车	终C1208	蛟河西	长春	10:20	-
城际动车	始C1015	长春	珲春	-	10:24
特快	始T302	长春	乌鲁木齐	-	10:27
高速动车	过G1234	吉林	上海虹桥	10:27	10:30
高速动车	过G8103	东港北	吉林	10:32	10:35
高速动车	始G8010	长春	大连	-	10:36
高速动车	过G8078	延吉西	丹东	10:42	10:45
动车组	过D112	齐齐哈尔南	珲春	10:45	10:48
快速	过K928	海拉尔	郑州	10:42	10:52
城际动车	终C1312	乌兰浩特	长春	10:53	-
高速动车	过G8003	大连北	吉林	10:51	10:54
城际动车	始C1507	长春	白城	-	10:57
城际动车	始C1211	长春	吉林	-	11:00
动车组	过D74	吉林	北京	11:00	11:03
直达特快	终Z5016	榆树	长春	11:08	-
动车组	始D20	长春	北京	-	11:13
快速	过K489	天津	佳木斯	11:09	11:19
高速动车	过G8125	大连北	珲春	11:15	11:20
城际动车	终C1518	白城	长春	11:24	-
快速	过K978	西宁	齐齐哈尔	11:19	11:27
高速动车	过G240	吉林	北京南	11:27	11:30
动车组	过D124	哈尔滨西	吉林	11:28	11:31
城际动车	始C1509	长春	乌兰浩特	-	11:42
直达特快	终Z386	三亚	长春	11:45	-
城际动车	始C1213	长春	吉林	-	11:45
城际动车	终C1212	吉林	长春	11:45	-
快速	始K2388	长春	南宁	-	11:46
城际动车	终C1542	松原	长春	11:47	-
直达特快	始Z5017	长春	榆树	-	11:52
城际动车	终C1042	珲春	长春	11:53	-
快速	过K1574	重庆西	吉林	11:30	11:58
快速	过K1572	吉林	重庆西	11:39	12:05
城际动车	始C1523	长春	松原	-	12:05
动车组	过D118	延吉西	哈尔滨西	12:04	12:07
快速	过K726	昆明	哈尔滨西	12:00	12:13
城际动车	始C1043	长春	珲春	-	12:13
直达特快	终Z104	厦门北	长春	12:15	-
城际动车	终C1006	延吉西	长春	12:22	-
快速	过K1382	包头	哈尔滨西	12:07	12:25
城际动车	始C1215	长春	吉林	-	12:30
快速	过K1528	哈尔滨	邯郸	12:25	12:33
城际动车	终C1546	松原	长春	12:33	-
快速	过K938	石家庄	牡丹江	12:38	12:46
城际动车	终C1252	吉林	长春	12:46	-
城际动车	始C1017	长春	延吉西	-	12:48
直达特快	过Z158	哈尔滨西	泰州	12:40	12:49
直达特快	过Z366	南京	哈尔滨西	12:45	12:55
高速动车	过G8108	吉林	丹东	12:54	12:57
高速动车	过G8007	大连	吉林	12:54	12:59
快速	过K980	齐齐哈尔	西宁	12:55	13:02
城际动车	终C1008	珲春	长春	13:10	-
直达特快	过Z114	哈尔滨西	海口	13:03	13:11
城际动车	始C1533	长春	松原	-	13:15
城际动车	始C1217	长春	吉林	-	13:18
高速动车	过G8022	吉林	大连	13:16	13:20
直达特快	过Z176	杭州	哈尔滨西	13:20	13:28
特快	过T244	齐齐哈尔	合肥	13:25	13:33
城际动车	始C1019	长春	延吉西	-	13:39
动车组	过D130	吉林	齐齐哈尔南	13:37	13:40
快速	过K294	济南	齐齐哈尔	13:32	13:42
快速	始K128	长春	咸阳	-	13:42
动车组	终D120	牡丹江	长春	13:44	-
城际动车	终C1504	白城	长春	13:45	-
普快	过2624	满洲里	大连	13:37	13:51
特快	过T242	合肥	齐齐哈尔	13:44	13:52
高速动车	过G8009	大连北	吉林	13:50	13:54
快速	过K1303	北京	海拉尔	13:53	14:01
城际动车	终C1216	吉林	长春	14:04	-
动车组	过D21	北京	珲春	14:05	14:08
城际动车	始C1511	长春	白城	-	14:08
高速动车	过G383	北京南	吉林	14:12	14:15
城际动车	始C1219	长春	蛟河西	-	14:22
快速	过K1984	南通	吉林	14:04	14:23
城际动车	终C1218	吉林	长春	14:30	-
城际动车	终C1012	珲春	长春	14:40	-
高速动车	过G8011	大连	吉林	14:39	14:42
快速	过K1304	海拉尔	北京	14:37	14:46
动车组	始D121	长春	佳木斯	-	14:47
城际动车	始C1355	长春	白城	-	14:50
城际动车	始C1221	长春	吉林	-	14:50
高速动车	过G8016	吉林	大连北	14:46	14:52
直达特快	过Z174	哈尔滨西	上海	14:48	14:58
城际动车	始C1023	长春	珲春	-	15:02
直达特快	过Z157	泰州	哈尔滨西	14:54	15:03
直达特快	过Z368	哈尔滨西	南京	14:58	15:06
城际动车	终C1524	松原	长春	15:06	-
城际动车	过C1010	延吉西	长春西	15:06	15:09
快速	过K1450	日照	牡丹江	15:01	15:10
快速	过K926	郑州	海拉尔	15:09	15:17
城际动车	终C1220	吉林	长春	15:17	-
动车组	过D116	哈尔滨西	延吉西	15:23	15:26
特快	过T182	汉口	哈尔滨	15:24	15:32
快速	过K1986	吉林	南通	15:18	15:38
高速动车	过G8013	大连北	吉林	15:36	15:39
城际动车	始C1525	长春	松原	-	15:39
高速动车	过G8018	吉林	大连	15:39	15:42
城际动车	始C1223	长春	吉林	-	15:46
城际动车	终C1506	白城	长春	15:56	-
动车组	过D22	珲春	北京	15:56	16:00
高速动车	过G1268	青岛北	延吉西	16:05	16:08
直达特快	过Z112	海口	哈尔滨西	16:05	16:13
直达特快	始Z102	长春	厦门北	-	16:13
城际动车	终C1046	延吉西	长春	16:19	-
城际动车	过C1021	长春西	延吉西	16:18	16:21
快速	过K1056	吉林	青岛北	16:00	16:23
直达特快	终Z5018	榆树	长春	16:25	-
高速动车	过G8020	吉林	大连北	16:25	16:28
快速	过K704	哈尔滨西	青岛北	16:18	16:29
城际动车	终C1508	乌兰浩特	长春	16:32	-
城际动车	始C1519	长春	乌兰浩特	-	16:35
城际动车	始C1047	长春	延吉西	-	16:43
高速动车	过G384	吉林	北京南	16:42	16:45
直达特快	过Z172	上海	哈尔滨西	16:43	16:50
城际动车	终C1020	珲春	长春	16:55	-
城际动车	终C1534	松原	长春	16:58	-
高速动车	过G8015	大连北	吉林	16:56	16:59
快速	始K335	长春	宁波	-	17:02
直达特快	始Z384	长春	三亚	-	17:05
城际动车	终C1224	吉林	长春	17:08	-
动车组	过D136	牡丹江	吉林	17:06	17:09
城际动车	始C1517	长春	白城	-	17:10
城际动车	终C1222	蛟河西	长春	17:17	-
快速	始K7571	长春	梅河口	-	17:23
高速动车	过G8076	丹东	延吉西	17:23	17:26
城际动车	始C1535	长春	松原	-	17:31
城际动车	始C1025	长春	延吉西	-	17:34
快速	过K976	哈尔滨西	襄阳	17:27	17:37
特快	终T304	乌鲁木齐	长春	17:39	-
城际动车	始C1227	长春	吉林	-	17:40
快速	过K554	牡丹江	温州	17:35	17:45
普快	终4306	舒兰	长春	17:46	-
