列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K9205	张家界西	深圳东	23:44	0:06
快速	过K1006	周口	广州	0:01	0:13
直达特快	过Z238	哈尔滨西	广州东	0:16	0:22
快速	过K9275	常德	深圳	23:51	0:28
快速	过K194	成都	广州	0:09	0:34
快速	过K536	深圳	洛阳	0:12	0:39
直达特快	过Z14	广州东	沈阳北	0:38	0:46
快速	过K688	汕头	重庆北	0:32	0:52
快速	过K642	广州	十堰	0:26	0:58
特快	过T124	广州	长春	0:48	1:08
快速	过K82	广州	西安	1:17	1:23
直达特快	过Z189	郑州	广州	1:22	1:30
直达特快	过Z98	广州东	北京西	1:29	1:35
快速	过K237	太原	深圳西	1:32	1:44
特快	过T290	南宁	北京西	1:45	1:53
直达特快	过Z35	北京西	广州	1:45	1:53
快速	过K22	南宁	北京西	1:54	2:02
特快	过T96	深圳	武昌	2:00	2:20
快速	过K598	包头	广州	2:15	2:21
快速	过K238	深圳西	太原	2:16	2:26
快速	过K1804	湛江	武昌	2:08	2:32
直达特快	过Z97	北京西	广州东	2:26	2:32
直达特快	过Z286	南宁	北京西	2:41	2:47
直达特快	过Z54	昆明	北京西	2:35	2:55
特快	过T122	长春	广州	2:49	2:56
快速	过K1296	广州	银川	2:29	3:01
直达特快	过Z161	北京西	昆明	2:39	3:03
特快	过T254	广州	天津	3:11	3:17
快速	过K756	广州	洛阳	2:49	3:23
快速	过K228	兰州	广州	3:30	3:40
快速	过K644	十堰	广州	3:36	3:46
快速	过K226	广州	兰州	3:37	3:47
直达特快	过Z236	广州东	哈尔滨西	3:46	3:54
特快	过T8302	广州	张家界西	3:52	4:14
快速	过K935	襄阳	广州东	3:55	4:15
特快	过T180	广州	济南	4:10	4:20
快速	过K9206	深圳东	张家界西	4:30	4:40
快速	过K1095	巴中	广州	4:27	4:47
快速	过K9278	深圳西	益阳	4:44	4:54
直达特快	过Z89	石家庄	广州	4:51	4:57
快速	过K71	上海南	重庆北	4:38	5:00
快速	过K84	西安	广州	4:44	5:09
快速	过K1295	银川	广州	5:01	5:15
快速	过K758	洛阳	广州	5:15	5:21
快速	过K21	北京西	南宁	5:07	5:27
直达特快	过Z122	广州	成都	5:20	5:27
快速	终K504	成都东	长沙	5:28	-
快速	终K9212	汕头	长沙	5:40	-
特快	过T145	北京	南昌	5:22	5:42
快速	过K9204	深圳东	岳阳	5:33	5:52
快速	过K457	郑州	海口	5:49	5:58
快速	过K9276	深圳	常德	5:50	6:06
直达特快	过Z12	沈阳北	广州东	6:12	6:18
直达特快	过Z5	北京西	南宁	6:18	6:24
快速	过K9232	广州	岳阳	6:25	6:35
城际动车	始C7299	长沙	大丰	-	6:40
快速	过K437	惠州	武昌	6:31	6:41
城际动车	始C6901	长沙	湘潭	-	6:45
城际动车	始C6903	长沙	湘潭	-	6:56
城际动车	始C8031	长沙	张家界西	-	7:00
快速	过K538	洛阳	深圳	6:40	7:00
直达特快	终Z247	上海南	长沙	7:00	-
城际动车	始C6989	长沙	湘潭	-	7:04
城际动车	始C7885	长沙	麓谷	-	7:06
直达特快	过Z168	广州东	青岛北	6:54	7:08
城际动车	始C6905	长沙	湘潭	-	7:13
城际动车	过C7804	湘潭	麓谷	7:12	7:15
直达特快	过Z150	贵阳	北京西	7:09	7:15
快速	终K9218	深圳	长沙	7:20	-
城际动车	过C7242	麓谷	大丰	7:18	7:21
快速	过K1373	上海南	怀化	6:48	7:21
城际动车	始C6907	长沙	湘潭	-	7:30
城际动车	始C8871	长沙	石门县北	-	7:30
城际动车	过C7244	大丰	麓谷	7:31	7:35
特快	过T252	天津	广州	7:37	7:43
城际动车	始C8011	长沙	张家界西	-	7:45
城际动车	过C7802	麓谷	湘潭	7:44	7:47
城际动车	终C6902	湘潭	长沙	7:53	-
城际动车	始C6909	长沙	湘潭	-	7:57
城际动车	始C8085	长沙	咸丰	-	8:00
特快	过T179	济南	广州	7:58	8:04
城际动车	始C6911	长沙	湘潭	-	8:08
直达特快	终Z1	北京西	长沙	8:10	-
直达特快	过Z201	北京西	三亚	8:04	8:10
城际动车	始C7889	长沙	麓谷	-	8:12
快速	过K1174	达州	惠州	7:50	8:16
城际动车	过C8004	大丰	咸丰	8:14	8:19
城际动车	过C7246	麓谷	大丰	8:19	8:22
城际动车	过C7808	湘潭	麓谷	8:26	8:29
城际动车	终C6904	湘潭	长沙	8:33	-
城际动车	过C7806	麓谷	湘潭	8:32	8:35
城际动车	始C6913	长沙	湘潭	-	8:42
城际动车	过C7812	湘潭	麓谷	8:44	8:47
快速	过K768	汉中	广州	8:40	8:48
城际动车	始C6915	长沙	湘潭	-	8:53
城际动车	过C8054	湘潭	张家界西	8:54	9:00
城际动车	终C7262	大丰	长沙	9:02	-
城际动车	过C7250	麓谷	大丰	9:01	9:04
