列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	始G7645	阜阳西	苍南	-	6:59
高速动车	始G7477	阜阳西	丽水	-	7:17
高速动车	过G7787	界首南	上海虹桥	7:18	7:22
高速动车	始G7221	阜阳西	上海	-	7:29
高速动车	过G7185	亳州南	上海虹桥	7:29	7:35
高速动车	始G1619	阜阳西	南昌西	-	7:41
高速动车	始G7681	阜阳西	温州南	-	7:50
高速动车	始G1601	阜阳西	深圳北	-	7:57
高速动车	过G1763	周口东	上海虹桥	8:00	8:02
高速动车	过G7721	界首南	安庆	8:09	8:12
高速动车	过G7755	亳州南	杭州东	8:24	8:30
高速动车	过G1961	郑州东	宁波	8:37	8:41
高速动车	过G1905	郑州东	福州	8:46	8:48
高速动车	过G1878	合肥南	西安北	8:46	8:50
高速动车	过G7181	亳州南	上海虹桥	8:49	8:55
高速动车	过G7732	合肥南	界首南	8:54	8:58
高速动车	过G1965	郑州东	温州南	9:00	9:04
高速动车	过G7702	合肥南	亳州南	9:11	9:13
高速动车	过G3105	新乡东	杭州东	9:10	9:14
高速动车	过G1801	郑州东	上海虹桥	9:29	9:31
动车组	始D5591	阜阳西	上海	-	9:40
高速动车	过G2397	郑州东	杭州东	9:52	9:55
高速动车	过G7731	界首南	杭州东	10:03	10:05
高速动车	过G7669	亳州南	温州南	10:06	10:11
高速动车	过G1874	杭州东	兰州西	10:15	10:19
高速动车	过G3116	洛阳龙门	杭州东	10:22	10:24
高速动车	过G3180	上海虹桥	兰州西	10:29	10:32
高速动车	过G3117	郑州东	杭州东	10:33	10:35
高速动车	过G7701	亳州南	合肥南	10:44	10:48
高速动车	过G2806	杭州东	石家庄	10:49	10:51
高速动车	过G7722	安庆	界首南	10:54	10:57
高速动车	过G3158	西安北	安庆	11:07	11:09
高速动车	过G3110	杭州	郑州东	11:11	11:14
高速动车	过G2807	石家庄	宁波	11:19	11:21
高速动车	过G7746	黄山北	亳州南	11:25	11:29
高速动车	过G3198	西安北	杭州东	11:34	11:37
高速动车	过G1882	金华南	西安北	11:33	11:37
