列车类型	车次	始发站	终到站	到站时间	发车时间
城际动车	始C6602	雅安	成都西	-	6:55
城际动车	终C6603	成都西	雅安	8:40	-
城际动车	始C6612	雅安	成都西	-	9:08
城际动车	终C6605	成都西	雅安	9:17	-
城际动车	终C6607	成都西	雅安	9:35	-
城际动车	始C6614	雅安	成都西	-	9:54
城际动车	始C6616	雅安	成都西	-	10:09
城际动车	终C6615	成都西	雅安	10:44	-
城际动车	始C6624	雅安	成都西	-	11:11
城际动车	终C6619	成都西	雅安	11:34	-
城际动车	始C6626	雅安	成都西	-	11:50
城际动车	终C6621	成都西	雅安	12:26	-
城际动车	始C6630	雅安	成都西	-	12:37
城际动车	终C6627	成都西	雅安	13:15	-
城际动车	始C6636	雅安	成都西	-	13:31
城际动车	终C6633	成都西	雅安	14:25	-
城际动车	终C6635	成都西	雅安	14:33	-
城际动车	始C6640	雅安	成都西	-	14:35
城际动车	始C6642	雅安	成都西	-	14:45
城际动车	终C6637	成都西	雅安	15:11	-
城际动车	始C6646	雅安	成都西	-	15:23
城际动车	终C6643	成都西	雅安	15:58	-
城际动车	始C6652	雅安	成都西	-	16:10
城际动车	终C6647	成都西	雅安	16:53	-
城际动车	始C6656	雅安	成都西	-	17:06
城际动车	终C6653	成都西	雅安	17:47	-
城际动车	始C6660	雅安	成都西	-	17:58
城际动车	终C6657	成都西	雅安	18:36	-
城际动车	终C6659	成都西	雅安	18:49	-
城际动车	始C6664	雅安	成都西	-	18:51
城际动车	始C6666	雅安	成都西	-	19:00
城际动车	终C6663	成都西	雅安	19:45	-
城际动车	始C6674	雅安	成都西	-	20:08
城际动车	终C6671	成都西	雅安	21:10	-
城际动车	始C6678	雅安	成都西	-	21:27
城际动车	终C6677	成都西	雅安	22:27	-
