列车类型	车次	始发站	终到站	到站时间	发车时间
普快	过4652	呼和浩特	二连	23:45	0:01
快速	过K998	成都	海拉尔	23:53	0:21
快速	过K574	东胜西	北京西	0:41	0:47
特快	过T4202	包头	锡林浩特	0:52	1:07
快速	过K274	呼和浩特	海拉尔	1:14	1:29
快速	过K396	乌海西	北京	1:32	1:38
快速	过K1278	包头	南昌	1:39	1:45
直达特快	过Z180	乌鲁木齐	北京西	1:49	1:57
快速	过K886	兰州西	天津	2:32	2:38
快速	过K895	赤峰南	包头	3:11	3:34
特快	过T4201	锡林浩特	包头	3:57	4:12
快速	过K7922	锡林浩特	呼和浩特	4:16	4:31
快速	过K573	北京西	东胜西	4:34	4:40
直达特快	过Z179	北京西	乌鲁木齐	4:59	5:05
快速	过K41	北京	敦煌	4:52	5:12
快速	过K600	广州	包头	5:23	5:29
快速	过K89	北京西	呼和浩特	6:04	6:10
国际联运	过004З	莫斯科-雅罗斯拉夫尔	北京	6:37	6:55
普快	过2464	临汾	包头	7:07	7:17
快速	过K888	天津	兰州西	7:39	7:45
快速	过K2013	乌兰浩特	呼和浩特	8:51	9:06
特快	过T302	长春	乌鲁木齐	9:35	9:50
直达特快	过Z284	包头	杭州	10:42	10:49
快速	过K55	大连	包头	10:46	10:52
普客	过6055	大同	包头	10:55	11:04
直达特快	过Z350	青岛	包头	11:20	11:27
快速	过K43	敦煌	北京	11:21	11:31
普客	过6856	呼和浩特	二连	11:35	11:50
直达特快	过Z338	包头	南宁	12:01	12:07
快速	过K996	海拉尔	成都	13:28	13:45
直达特快	过Z352	包头	青岛	13:40	13:46
快速	过K620	包头	大同	13:56	14:02
快速	过K7920	呼和浩特	锡林浩特	14:15	14:30
普客	过6056	包头	大同	15:10	15:22
快速	过K7918	锡林浩特	包头	15:10	15:25
快速	过K1276	南昌	包头	16:17	16:23
普客	过6858	二连	呼和浩特	16:31	16:46
快速	过K1382	包头	哈尔滨西	16:34	16:49
快速	过K1566	包头	大连	16:43	17:08
快速	过K1384	哈尔滨西	包头	17:04	17:19
快速	过K619	大同	包头	18:27	18:33
特快	过T304	乌鲁木齐	长春	18:27	18:42
直达特快	过Z282	杭州	包头	18:54	19:00
直达特快	过Z182	深圳东	包头	19:10	19:16
直达特快	过Z184	临河	深圳东	19:17	19:23
直达特快	过Z336	南宁	包头	19:20	19:28
快速	过K395	北京	乌海西	19:30	19:36
普快	过4654	二连	呼和浩特	19:26	19:46
快速	过K2014	呼和浩特	乌兰浩特	19:34	19:53
普快	过2462	包头	临汾	19:52	19:58
快速	过K276	海拉尔	呼和浩特	19:55	20:10
快速	过K896	包头	赤峰南	20:00	20:15
普快	过1818	呼和浩特东	乌兰浩特	20:08	20:28
快速	过K56	包头	大连	20:26	20:36
快速	过K598	包头	广州	20:57	21:07
快速	过K1565	大连	包头	21:05	21:20
快速	过K7916	包头	锡林浩特	22:48	23:08
快速	过K90	呼和浩特	北京西	23:25	23:31
