列车类型	车次	始发站	终到站	到站时间	发车时间
直达特快	终Z274	西宁	青岛	4:50	-
动车组	始D6020	青岛	济南西	-	5:07
高速动车	始G278	青岛	广州南	-	6:17
高速动车	始G284	青岛	杭州	-	6:26
快速	终K1138	南宁	青岛	6:36	-
高速动车	始G224	青岛	上海虹桥	-	6:54
动车组	始D6004	青岛	济南西	-	7:12
高速动车	始G318	青岛	重庆北	-	7:21
动车组	始D1636	青岛	运城北	-	7:27
高速动车	始G244	青岛	厦门	-	7:40
动车组	始D6044	青岛	龙口市	-	7:46
高速动车	始G178	青岛	北京南	-	7:52
高速动车	始G182	青岛	北京南	-	7:58
城际动车	终C6520	烟台	青岛	8:10	-
高速动车	始G1838	青岛	重庆西	-	8:16
快速	终K206	成都	青岛	8:18	-
城际动车	始C6518	青岛	烟台	-	8:28
城际动车	始C6586	青岛	威海	-	8:40
高速动车	始G232	青岛	上海虹桥	-	8:56
动车组	终D6001	济南	青岛	9:11	-
快速	终K8265	平度西	青岛	9:17	-
高速动车	始G184	青岛	北京南	-	9:24
高速动车	始G172	青岛	天津西	-	9:41
动车组	始D6006	青岛	平原东	-	9:48
高速动车	始G186	青岛	北京南	-	10:20
直达特快	终Z352	包头	青岛	10:43	-
高速动车	过G5536	临沂北	临沂北	10:37	10:55
快速	终K912	西安	青岛	10:59	-
快速	始K914	青岛	西安	-	11:01
快速	始K8266	青岛	平度西	-	11:07
高速动车	终G452	徐州东	青岛	11:07	-
特快	终T398	深圳	青岛	11:17	-
高速动车	终G6909	济南西	青岛	11:32	-
高速动车	始G188	青岛	北京南	-	11:34
动车组	终D6018	济南东	青岛	11:46	-
高速动车	始G190	青岛	北京南	-	12:05
动车组	始D8184	青岛	济南西	-	12:16
城际动车	终C6516	荣成	青岛	12:20	-
城际动车	终C6494	荣成	青岛	12:20	-
高速动车	终G246	合肥南	青岛	12:29	-
高速动车	终G6953	临沂北	青岛	12:35	-
动车组	始D6024	青岛	济南	-	12:39
动车组	终D8181	济南西	青岛	12:48	-
直达特快	始Z350	青岛	包头	-	12:50
动车组	终D8183	济南西	青岛	13:03	-
城际动车	始C6506	青岛	荣成	-	13:05
城际动车	始C6492	青岛	荣成	-	13:05
高速动车	始G248	青岛	合肥南	-	13:21
高速动车	始G6906	青岛	济南西	-	13:27
动车组	始D6008	青岛	济南	-	13:33
直达特快	始Z272	青岛	西宁	-	14:01
高速动车	终G179	北京南	青岛	14:18	-
高速动车	始G6908	青岛	济南西	-	14:22
高速动车	始G194	青岛	北京南	-	14:38
动车组	终D6007	济南西	青岛	14:41	-
高速动车	终G258	武汉	青岛	14:49	-
高速动车	终G171	天津西	青岛	14:55	-
高速动车	始G260	青岛	武汉	-	15:15
城际动车	终C6484	荣成	青岛	15:24	-
动车组	始D6016	青岛	济南东	-	15:29
高速动车	终G181	北京南	青岛	15:38	-
快速	终K8316	菏泽	青岛	15:46	-
动车组	终D6005	济南	青岛	15:56	-
高速动车	始G196	青岛	北京南	-	15:57
高速动车	终G230	上海虹桥	青岛	16:01	-
城际动车	终C6508	荣成	青岛	16:07	-
高速动车	始G174	青岛	天津西	-	16:10
高速动车	始G236	青岛	上海	-	16:21
高速动车	终G185	北京南	青岛	16:31	-
快速	始K208	青岛	成都	-	16:39
高速动车	终G183	北京南	青岛	16:45	-
动车组	终D6043	龙口市	青岛	16:53	-
特快	始T396	青岛	深圳	-	16:58
高速动车	始G198	青岛	北京南	-	17:05
快速	始K1136	青岛	南宁	-	17:32
高速动车	终G173	天津西	青岛	17:42	-
普快	终5048	菏泽	青岛	17:55	-
城际动车	始C6510	青岛	荣成	-	18:00
城际动车	始C6486	青岛	荣成	-	18:00
动车组	终D6009	济南	青岛	18:05	-
高速动车	终G189	北京南	青岛	18:19	-
高速动车	始G6954	青岛	临沂北	-	18:31
高速动车	始G454	青岛	徐州东	-	18:37
动车组	始D6038	青岛	济南东	-	18:43
动车组	终D6023	济南	青岛	19:00	-
快速	始K8318	青岛	菏泽	-	19:01
城际动车	终C6504	荣成	青岛	19:11	-
城际动车	终C6498	荣成	青岛	19:11	-
高速动车	过G5535	临沂北	临沂北	18:35	19:13
高速动车	终G191	北京南	青岛	19:23	-
普快	始5038	青岛	枣庄西	-	19:29
高速动车	终G276	广州南	青岛	19:34	-
高速动车	终G193	北京南	青岛	19:40	-
动车组	始D6012	青岛	济南西	-	19:42
城际动车	终C6588	威海	青岛	19:51	-
快速	终K8278	曹县	青岛	20:11	-
高速动车	终G242	厦门	青岛	20:26	-
高速动车	终G195	北京南	青岛	21:00	-
动车组	终D1638	运城北	青岛	21:05	-
动车组	终D6011	济南	青岛	21:14	-
高速动车	终G316	重庆北	青岛	21:19	-
高速动车	终G226	上海虹桥	青岛	21:31	-
高速动车	终G282	杭州	青岛	21:40	-
高速动车	终G197	北京南	青岛	21:53	-
高速动车	终G199	北京南	青岛	22:27	-
高速动车	终G1836	重庆西	青岛	22:52	-
高速动车	终G234	上海虹桥	青岛	23:03	-
动车组	终D6022	济南东	青岛	23:09	-
