列车类型	车次	始发站	终到站	到站时间	发车时间
直达特快	终Z168	广州东	青岛北	5:02	-
高速动车	始G1268	青岛北	延吉西	-	6:00
高速动车	始G1208	青岛北	哈尔滨西	-	6:10
快速	终K1050	温州	青岛北	6:12	-
快速	过K1138	南宁	青岛	6:05	6:13
高速动车	始G1842	青岛北	兰州西	-	6:29
高速动车	始G5569	青岛北	曲阜东	-	6:38
高速动车	过G278	青岛	广州南	6:35	6:38
高速动车	过G284	青岛	杭州	6:44	6:46
普快	终5028	曹县	青岛北	6:47	-
高速动车	始G6902	青岛北	济南西	-	6:52
城际动车	始C6555	青岛北	荣成	-	6:57
城际动车	始C6489	青岛北	荣成	-	6:57
动车组	始D8182	青岛北	济南西	-	7:03
城际动车	始C6553	青岛北	威海	-	7:06
高速动车	过G224	青岛	上海虹桥	7:12	7:14
城际动车	始C6557	青岛北	荣成	-	7:22
高速动车	始G5571	青岛北	曲阜东	-	7:23
快速	终K1028	兰州	青岛北	7:28	-
动车组	过D1636	青岛	运城北	7:46	7:48
城际动车	过C6520	烟台	青岛	7:45	7:49
高速动车	始G210	青岛北	北京南	-	7:53
高速动车	始G6956	青岛北	青岛北	-	7:58
普快	始5026	青岛北	曹县	-	7:59
快速	终K1215	石家庄	青岛北	8:03	-
城际动车	始C6559	青岛北	烟台	-	8:05
高速动车	始G1248	青岛北	沈阳北	-	8:11
动车组	过D6044	青岛	龙口市	8:04	8:16
高速动车	过G182	青岛	北京南	8:16	8:21
高速动车	始G180	青岛北	北京南	-	8:30
高速动车	过G1838	青岛	重庆西	8:34	8:38
高速动车	始G5573	青岛北	曲阜东	-	8:43
城际动车	过C6518	青岛	烟台	8:46	8:48
动车组	过D6001	济南	青岛	8:48	8:50
城际动车	始C6581	青岛北	威海	-	8:53
快速	过K8265	平度西	青岛	8:56	8:59
城际动车	终C6482	荣成	青岛北	9:02	-
城际动车	终C6552	荣成	青岛北	9:03	-
城际动车	过C6586	青岛	威海	8:58	9:04
动车组	终D782	杭州	青岛北	9:06	-
高速动车	始G6955	青岛北	青岛北	-	9:19
高速动车	过G232	青岛	上海虹桥	9:14	9:22
快速	终K884	太原	青岛北	9:31	-
高速动车	终G6901	济南东	青岛北	9:33	-
城际动车	始C6563	青岛北	荣成	-	9:41
高速动车	终G6903	济南东	青岛北	9:43	-
高速动车	过G5588	威海	曲阜东	9:29	9:46
高速动车	始G6904	青岛北	济南东	-	9:56
高速动车	终G209	北京南	青岛北	10:01	-
动车组	终D8192	青岛西	青岛北	10:07	-
城际动车	始C6483	青岛北	荣成	-	10:11
高速动车	过G5536	临沂北	临沂北	10:14	10:16
快速	始K1216	青岛北	石家庄	-	10:17
直达特快	过Z352	包头	青岛	9:50	10:21
快速	始K970	青岛北	通化	-	10:24
高速动车	始G2094	青岛北	兰州西	-	10:27
高速动车	始G2666	青岛北	上海虹桥	-	10:35
快速	过K912	西安	青岛	10:31	10:38
高速动车	过G186	青岛	北京南	10:38	10:40
高速动车	终G6907	济南东	青岛北	10:43	-
快速	始K1026	青岛北	兰州	-	10:47
特快	过T398	深圳	青岛	10:43	10:55
高速动车	终G6925	济南东	青岛北	10:56	-
高速动车	始G2622	青岛北	运城北	-	11:07
高速动车	过G6909	济南西	青岛	11:02	11:11
动车组	过D6018	济南东	青岛	11:23	11:25
高速动车	终G177	北京南	青岛北	11:30	-
快速	始K1052	青岛北	温州	-	11:31
高速动车	始G3221	青岛北	襄阳东	-	11:32
快速	始K1286	青岛北	银川	-	11:58
城际动车	过C6516	荣成	青岛	11:55	11:58
城际动车	过C6494	荣成	青岛	11:55	11:58
高速动车	终G6922	泰安	青岛北	12:12	-
高速动车	过G6953	临沂北	青岛	12:06	12:14
高速动车	过G5525	临沂北	临沂北	12:00	12:18
高速动车	过G190	青岛	北京南	12:23	12:25
高速动车	过G5557	济南	济南	11:48	12:31
动车组	过D8184	青岛	济南西	12:34	12:36
动车组	始D8186	青岛北	济南西	-	12:49
高速动车	始G192	青岛北	北京南	-	12:55
动车组	终D1611	石家庄	青岛北	12:58	-
动车组	过D6024	青岛	济南	12:57	13:00
直达特快	过Z350	青岛	包头	13:09	13:17
高速动车	终G5570	曲阜东	青岛北	13:17	-
高速动车	终G222	上海	青岛北	13:23	-
动车组	始D1612	青岛北	石家庄	-	13:25
城际动车	过C6506	青岛	荣成	13:23	13:25
城际动车	过C6492	青岛	荣成	13:23	13:25
高速动车	终G6913	济南西	青岛北	13:32	-
高速动车	过G6906	青岛	济南西	13:45	13:48
城际动车	始C6571	青岛北	烟台	-	13:55
高速动车	始G228	青岛北	上海虹桥	-	13:56
高速动车	始G1858	青岛北	西安北	-	14:05
高速动车	终G6915	济南西	青岛北	14:16	-
动车组	过D6007	济南西	青岛	14:18	14:20
直达特快	过Z272	青岛	西宁	14:19	14:22
高速动车	过G258	武汉	青岛	14:26	14:28
高速动车	终G2070	郑州东	青岛北	14:30	-
直达特快	始Z170	青岛北	广州东	-	14:32
高速动车	始G6910	青岛北	济南西	-	14:33
高速动车	过G171	天津西	青岛	14:32	14:34
高速动车	过G6908	青岛	济南西	14:40	14:42
快速	终K1056	吉林	青岛北	14:48	-
高速动车	始G6976	青岛北	青岛北	-	14:50
