列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K1656	深圳东	襄阳	3:05	3:08
快速	过K1315	呼和浩特东	福州	4:03	4:07
快速	过K1278	包头	南昌	4:16	4:21
特快	过T167	北京西	南昌	4:44	4:47
直达特快	过Z27	上海南	武昌	5:18	5:20
直达特快	过Z32	宁波	武昌	5:28	5:31
直达特快	过Z47	杭州	武昌	5:39	5:43
快速	过K351	上海南	成都	6:28	6:31
快速	过K1258	成都东	温州	6:35	6:40
快速	过K424	成都	宁波	8:31	8:38
快速	过K800	汕头	武昌	9:00	9:03
快速	过K1256	温州	成都东	9:13	9:16
快速	过K903	太原	厦门北	9:28	9:34
快速	过K806	重庆西	福州	9:54	9:59
特快	过T308	乌鲁木齐	福州	11:07	11:13
快速	过K1658	襄阳	深圳东	12:51	12:55
快速	过K799	武昌	汕头	13:03	13:18
快速	过K1276	南昌	包头	13:42	13:46
特快	过T126	成都	东莞东	16:59	17:02
特快	过T306	福州	乌鲁木齐	17:20	17:22
快速	过K1585	武昌	温州	17:21	17:33
快速	过K1128	襄州	上海南	19:36	19:40
快速	过K124	十堰	上海南	19:55	19:59
快速	过K804	福州	重庆西	20:08	20:11
快速	过K904	厦门北	太原	20:36	20:39
快速	过K422	宁波	成都	20:52	20:57
快速	过K352	成都	上海南	21:12	21:15
特快	过T168	南昌	北京西	21:58	22:01
直达特快	过Z25	武昌	上海南	23:09	23:12
直达特快	过Z31	武昌	宁波	23:25	23:28
直达特快	过Z45	武昌	杭州	23:37	23:43
