列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	过D7002	阳新	武汉	7:52	7:54
动车组	过D5866	阳新	恩施	8:29	8:33
动车组	过D3262	汉口	福州	9:14	9:18
动车组	过D3277	武汉	厦门北	9:35	9:37
高速动车	过G640	南昌西	兰州西	9:39	9:41
动车组	过D3398	汉口	杭州东	10:26	10:28
动车组	过D2236	南昌	成都东	10:45	10:47
高速动车	过G2045	郑州东	厦门北	11:11	11:13
动车组	过D3286	汉口	梅州西	11:32	11:34
高速动车	过G647	郑州东	福州	12:08	12:10
高速动车	过G870	西安北	温州南	12:29	12:31
高速动车	过G2298	西安北	厦门北	12:42	12:44
高速动车	过G2389	杭州东	西安北	13:16	13:18
动车组	过D2378	重庆北	厦门	13:17	13:19
高速动车	过G2390	西安北	杭州东	13:28	13:30
高速动车	过G1648	福州南	武汉	13:27	13:30
动车组	过D3272	汉口	厦门北	13:43	13:45
动车组	过D2232	厦门北	重庆北	14:09	14:11
高速动车	过G2046	厦门北	郑州东	14:20	14:23
高速动车	过G2285	武汉	赣州西	14:24	14:26
动车组	过D2226	福州	重庆北	14:32	14:34
动车组	过D3289	武汉	厦门北	14:36	14:38
动车组	过D2376	厦门	重庆北	14:52	14:55
高速动车	过G1647	武汉	福州	15:03	15:05
动车组	过D3274	厦门北	汉口	15:28	15:30
动车组	过D2234	重庆北	厦门北	15:54	16:01
高速动车	过G868	温州南	西安北	16:08	16:10
高速动车	过G2296	厦门北	西安北	16:17	16:19
高速动车	过G492	赣州西	北京西	16:36	16:38
高速动车	过G642	兰州西	南昌西	17:05	17:07
动车组	过D2244	成都东	福州	17:18	17:21
动车组	过D3285	梅州西	宜昌东	17:22	17:24
高速动车	过G491	北京西	赣州西	18:47	18:50
动车组	过D3290	厦门北	武汉	19:12	19:14
动车组	过D2238	成都东	南昌	19:13	19:21
动车组	过D3264	福州	汉口	21:01	21:03
动车组	过D7011	武汉	大冶北	21:25	21:27
动车组	过D3278	厦门北	武汉	21:31	21:33
